Thermal / Resonance / Fast fractions (%) per detector and case
================================================================================

DET0
------------------------------------------------------------
case             thermal     resonance        fast
M87-25             4.79%        41.33%      53.88%
M87-30             4.79%        41.32%      53.89%
M87-5              4.81%        41.39%      53.80%
mox1               4.84%        41.43%      53.73%
mox43              6.69%        41.24%      52.07%

DET15
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             4.83%        41.34%      53.83%
M43-15             4.82%        41.32%      53.86%
M43-20             4.81%        41.31%      53.88%
M43-25             4.81%        41.30%      53.89%
M43-30             4.81%        41.29%      53.91%
M43-5              4.84%        41.37%      53.79%
M70-10             4.79%        41.28%      53.92%
M70-15             4.78%        41.26%      53.96%
M70-20             4.77%        41.23%      54.01%
M70-25             4.76%        41.20%      54.03%
M70-30             4.76%        41.19%      54.06%
M70-5              4.82%        41.33%      53.85%
M87-10             4.84%        41.34%      53.82%
M87-15             4.83%        41.33%      53.84%
M87-20             4.83%        41.31%      53.86%
M87-25             4.82%        41.31%      53.87%
M87-30             4.82%        41.30%      53.88%
M87-5              4.85%        41.37%      53.78%
mox1               4.87%        41.42%      53.71%
mox43              6.77%        41.21%      52.03%

DET16
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             4.86%        41.33%      53.80%
M43-15             4.85%        41.31%      53.84%
M43-20             4.84%        41.29%      53.86%
M43-25             4.84%        41.28%      53.88%
M43-30             4.84%        41.28%      53.88%
M43-5              4.88%        41.36%      53.77%
M70-10             4.82%        41.26%      53.91%
M70-15             4.81%        41.23%      53.96%
M70-20             4.80%        41.21%      53.99%
M70-25             4.79%        41.19%      54.02%
M70-30             4.79%        41.17%      54.05%
M70-5              4.85%        41.31%      53.83%
M87-10             4.87%        41.34%      53.79%
M87-15             4.87%        41.32%      53.82%
M87-20             4.86%        41.30%      53.84%
M87-25             4.86%        41.29%      53.85%
M87-30             4.85%        41.28%      53.87%
M87-5              4.88%        41.36%      53.76%
mox1               4.91%        41.40%      53.69%
mox43              6.85%        41.17%      51.98%

DET17
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             4.90%        41.32%      53.79%
M43-15             4.89%        41.29%      53.82%
M43-20             4.88%        41.28%      53.84%
M43-25             4.87%        41.27%      53.86%
M43-30             4.87%        41.26%      53.87%
M43-5              4.91%        41.34%      53.75%
M70-10             4.86%        41.25%      53.89%
M70-15             4.84%        41.21%      53.95%
M70-20             4.83%        41.19%      53.99%
M70-25             4.82%        41.17%      54.01%
M70-30             4.82%        41.15%      54.03%
M70-5              4.89%        41.30%      53.81%
M87-10             4.91%        41.32%      53.77%
M87-15             4.90%        41.30%      53.80%
M87-20             4.90%        41.29%      53.82%
M87-25             4.89%        41.27%      53.83%
M87-30             4.89%        41.26%      53.84%
M87-5              4.92%        41.34%      53.74%
mox1               4.94%        41.39%      53.67%
mox43              6.93%        41.13%      51.94%

DET18
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             4.93%        41.29%      53.77%
M43-15             4.92%        41.28%      53.79%
M43-20             4.92%        41.26%      53.82%
M43-25             4.91%        41.25%      53.84%
M43-30             4.91%        41.24%      53.85%
M43-5              4.95%        41.32%      53.73%
M70-10             4.89%        41.23%      53.87%
M70-15             4.88%        41.20%      53.92%
M70-20             4.86%        41.17%      53.97%
M70-25             4.86%        41.15%      53.99%
M70-30             4.85%        41.13%      54.02%
M70-5              4.92%        41.29%      53.79%
M87-10             4.94%        41.30%      53.76%
M87-15             4.94%        41.28%      53.78%
M87-20             4.94%        41.26%      53.80%
M87-25             4.93%        41.26%      53.81%
M87-30             4.93%        41.24%      53.83%
M87-5              4.96%        41.33%      53.72%
mox1               4.99%        41.37%      53.64%
mox43              7.02%        41.09%      51.89%

DET19
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             4.97%        41.28%      53.75%
M43-15             4.96%        41.27%      53.77%
M43-20             4.95%        41.25%      53.80%
M43-25             4.95%        41.23%      53.82%
M43-30             4.95%        41.23%      53.83%
M43-5              4.99%        41.31%      53.70%
M70-10             4.93%        41.22%      53.85%
M70-15             4.91%        41.18%      53.91%
M70-20             4.90%        41.16%      53.94%
M70-25             4.89%        41.14%      53.97%
M70-30             4.89%        41.11%      54.00%
M70-5              4.96%        41.27%      53.77%
M87-10             4.99%        41.28%      53.73%
M87-15             4.98%        41.27%      53.75%
M87-20             4.97%        41.24%      53.79%
M87-25             4.97%        41.24%      53.79%
M87-30             4.97%        41.23%      53.80%
M87-5              5.00%        41.31%      53.69%
mox1               5.02%        41.36%      53.62%
mox43              7.11%        41.05%      51.84%

DET20
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             5.01%        41.27%      53.73%
M43-15             5.00%        41.24%      53.76%
M43-20             4.99%        41.23%      53.77%
M43-25             4.99%        41.22%      53.79%
M43-30             4.99%        41.21%      53.81%
M43-5              5.03%        41.29%      53.68%
M70-10             4.97%        41.20%      53.83%
M70-15             4.95%        41.16%      53.89%
M70-20             4.94%        41.13%      53.93%
M70-25             4.93%        41.12%      53.95%
M70-30             4.93%        41.10%      53.97%
M70-5              5.00%        41.25%      53.75%
M87-10             5.02%        41.27%      53.71%
M87-15             5.02%        41.25%      53.74%
M87-20             5.01%        41.23%      53.75%
M87-25             5.01%        41.22%      53.77%
M87-30             5.01%        41.21%      53.78%
M87-5              5.04%        41.29%      53.67%
mox1               5.07%        41.34%      53.59%
mox43              7.20%        41.01%      51.78%

DET21
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             5.09%        41.23%      53.68%
M43-15             5.08%        41.21%      53.71%
M43-20             5.08%        41.19%      53.73%
M43-25             5.07%        41.18%      53.75%
M43-30             5.07%        41.17%      53.75%
M43-5              5.12%        41.26%      53.62%
M70-10             5.05%        41.17%      53.78%
M70-15             5.03%        41.13%      53.84%
M70-20             5.02%        41.10%      53.88%
M70-25             5.01%        41.08%      53.91%
M70-30             5.01%        41.05%      53.94%
M70-5              5.08%        41.21%      53.70%
M87-10             5.11%        41.23%      53.66%
M87-15             5.10%        41.21%      53.69%
M87-20             5.10%        41.20%      53.71%
M87-25             5.09%        41.19%      53.72%
M87-30             5.09%        41.19%      53.72%
M87-5              5.12%        41.26%      53.62%
mox1               5.16%        41.30%      53.54%
mox43              7.38%        40.93%      51.68%

DET22
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             5.18%        41.20%      53.62%
M43-15             5.17%        41.18%      53.65%
M43-20             5.17%        41.16%      53.67%
M43-25             5.16%        41.15%      53.69%
M43-30             5.16%        41.14%      53.70%
M43-5              5.20%        41.22%      53.57%
M70-10             5.13%        41.13%      53.74%
M70-15             5.11%        41.10%      53.79%
M70-20             5.10%        41.06%      53.83%
M70-25             5.09%        41.04%      53.86%
M70-30             5.09%        41.02%      53.89%
M70-5              5.17%        41.18%      53.65%
M87-10             5.20%        41.20%      53.60%
M87-15             5.19%        41.18%      53.63%
M87-20             5.19%        41.17%      53.65%
M87-25             5.18%        41.15%      53.67%
M87-30             5.18%        41.14%      53.68%
M87-5              5.21%        41.22%      53.56%
mox1               5.25%        41.27%      53.48%
mox43              7.56%        40.85%      51.59%

DET23
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             5.32%        41.14%      53.54%
M43-15             5.31%        41.12%      53.57%
M43-20             5.30%        41.11%      53.59%
M43-25             5.30%        41.09%      53.60%
M43-30             5.30%        41.09%      53.61%
M43-5              5.35%        41.17%      53.48%
M70-10             5.26%        41.08%      53.66%
M70-15             5.24%        41.04%      53.71%
M70-20             5.23%        41.02%      53.75%
M70-25             5.22%        40.98%      53.79%
M70-30             5.22%        40.96%      53.81%
M70-5              5.31%        41.14%      53.55%
M87-10             5.34%        41.15%      53.51%
M87-15             5.33%        41.13%      53.54%
M87-20             5.32%        41.11%      53.57%
M87-25             5.32%        41.10%      53.58%
M87-30             5.32%        41.09%      53.59%
M87-5              5.36%        41.17%      53.47%
mox1               5.40%        41.22%      53.38%
mox43              7.84%        40.72%      51.44%

DET24
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             5.52%        41.08%      53.40%
M43-15             5.51%        41.05%      53.44%
M43-20             5.50%        41.03%      53.47%
M43-25             5.50%        41.02%      53.49%
M43-30             5.50%        41.01%      53.49%
M43-5              5.55%        41.10%      53.35%
M70-10             5.46%        41.01%      53.54%
M70-15             5.43%        40.97%      53.60%
M70-20             5.42%        40.93%      53.65%
M70-25             5.41%        40.90%      53.69%
M70-30             5.40%        40.89%      53.70%
M70-5              5.50%        41.05%      53.45%
M87-10             5.54%        41.07%      53.39%
M87-15             5.53%        41.05%      53.42%
M87-20             5.52%        41.04%      53.44%
M87-25             5.52%        41.02%      53.46%
M87-30             5.52%        41.01%      53.47%
M87-5              5.56%        41.09%      53.35%
mox1               5.61%        41.14%      53.25%
mox43              8.19%        40.57%      51.24%

DET25
------------------------------------------------------------
case             thermal     resonance        fast
M43-10             5.73%        41.00%      53.27%
M43-15             5.71%        40.97%      53.31%
M43-20             5.71%        40.95%      53.34%
M43-25             5.70%        40.94%      53.36%
M43-30             5.70%        40.93%      53.37%
M43-5              5.76%        41.03%      53.21%
M70-10             5.65%        40.93%      53.42%
M70-15             5.62%        40.90%      53.48%
M70-20             5.60%        40.86%      53.54%
M70-25             5.61%        40.84%      53.56%
M70-30             5.60%        40.81%      53.59%
M70-5              5.71%        40.98%      53.31%
M87-10             5.75%        40.99%      53.26%
M87-15             5.74%        40.97%      53.29%
M87-20             5.74%        40.95%      53.31%
M87-25             5.73%        40.94%      53.33%
M87-30             5.73%        40.93%      53.34%
M87-5              5.78%        41.01%      53.21%
mox1               5.83%        41.07%      53.10%
mox43              8.53%        40.41%      51.06%
