case,step,burnup_MWd_kgHM_global,ANA_KEFF,CONVERSION_RATIO,reactivity_pcm
M70-15,0,0.0,1.14234,0.636967,12460.38832571738
M70-15,1,0.1,1.12136,0.646962,10822.572590425903
M70-15,2,0.4,1.11725,0.649713,10494.517789214595
M70-15,3,0.7,1.11414,0.651683,10244.67302134381
M70-15,4,1.0,1.11101,0.653593,9991.809254642178
M70-15,5,1.3,1.10868,0.654696,9802.648194249025
M70-15,6,1.6,1.10548,0.657034,9541.556608893876
M70-15,7,2.0,1.10292,0.658833,9331.592499909324
M70-15,8,2.5,1.1002,0.660637,9107.43501181604
M70-15,9,3.0,1.09708,0.663282,8848.944470776976
M70-15,10,4.0,1.09164,0.666841,8394.708878384812
M70-15,11,5.0,1.08655,0.671106,7965.579126593338
M70-15,12,6.0,1.08135,0.675024,7523.003652841359
M70-15,13,7.0,1.07674,0.678465,7127.068744543717
M70-15,14,8.0,1.07212,0.682043,6726.858933701447
M70-15,15,10.0,1.06312,0.688979,5937.241327413656
M70-15,16,12.0,1.05461,0.696439,5178.217540133323
M70-15,17,14.0,1.04584,0.703243,4383.079629771293
M70-15,18,16.0,1.03764,0.710226,3627.462318337757
M70-15,19,18.0,1.02939,0.71778,2855.0889361660816
M70-15,20,20.0,1.02141,0.724152,2096.1220273934982
M70-15,21,24.0,1.0066,0.737402,655.6725610967553
M70-15,22,28.0,0.99199,0.750806,-807.4678172158954
M70-15,23,34.0,0.970863,0.769775,-3001.144342713644
M70-15,24,42.0,0.944779,0.794279,-5844.858956433194
M70-15,25,50.0,0.920764,0.816873,-8605.46242033789
M70-20,0,0.0,1.13812,0.641833,12135.802903033073
M70-20,1,0.1,1.11768,0.651625,10528.952830863933
M70-20,2,0.4,1.11323,0.654688,10171.303324560058
M70-20,3,0.7,1.10992,0.656466,9903.416462447745
M70-20,4,1.0,1.10735,0.657918,9694.315257145441
M70-20,5,1.3,1.10408,0.660471,9426.853126585027
M70-20,6,1.6,1.10196,0.661851,9252.604450252282
M70-20,7,2.0,1.09888,0.663928,8998.252766453123
M70-20,8,2.5,1.09616,0.665658,8772.4419792731
M70-20,9,3.0,1.09322,0.667995,8527.10341925688
M70-20,10,4.0,1.08769,0.672335,8062.039735586431
M70-20,11,5.0,1.0822,0.676032,7595.638514137871
M70-20,12,6.0,1.07734,0.680244,7178.792210444239
M70-20,13,7.0,1.07319,0.683032,6819.854825333825
M70-20,14,8.0,1.06808,0.68725,6374.054377949211
M70-20,15,10.0,1.05994,0.693849,5655.037077570438
M70-20,16,12.0,1.05108,0.700964,4859.76329109107
M70-20,17,14.0,1.043,0.708301,4122.722914669217
M70-20,18,16.0,1.03471,0.715116,3354.56311430256
M70-20,19,18.0,1.02695,0.721613,2624.2757680510276
M70-20,20,20.0,1.01905,0.728393,1869.3881556351516
M70-20,21,24.0,1.00464,0.741793,461.85698359611183
M70-20,22,28.0,0.989722,0.754921,-1038.4734299126433
M70-20,23,34.0,0.968657,0.77442,-3235.7170804526277
M70-20,24,42.0,0.943013,0.798928,-6043.0768186652795
M70-20,25,50.0,0.919015,0.821716,-8812.15214115112
M70-25,0,0.0,1.13485,0.645502,11882.627660043172
M70-25,1,0.1,1.11474,0.655316,10292.983117139427
M70-25,2,0.4,1.11027,0.657703,9931.818386518602
M70-25,3,0.7,1.10627,0.66059,9606.1540130348
M70-25,4,1.0,1.10362,0.662069,9389.101321106906
M70-25,5,1.3,1.10135,0.663581,9202.342579561451
M70-25,6,1.6,1.09869,0.665649,8982.515541235467
M70-25,7,2.0,1.09566,0.667416,8730.810652939786
M70-25,8,2.5,1.09263,0.669733,8477.709746208688
M70-25,9,3.0,1.08995,0.671747,8252.672140923893
M70-25,10,4.0,1.08444,0.675977,7786.507321751325
M70-25,11,5.0,1.07975,0.679641,7385.968974299606
