case,material,step,isotope,mdens_g_per_cm3
M43-10,M43-10,23,Pu239,0.139259
M43-10,M43-10,24,Pu239,0.127354
M43-10,M43-10,25,Pu239,0.117726
M43-10,M43-10,0,Pu240,0.0887096
M43-10,M43-10,1,Pu240,0.0887487
M43-10,M43-10,2,Pu240,0.0888589
M43-10,M43-10,3,Pu240,0.0889661
M43-10,M43-10,4,Pu240,0.089069
M43-10,M43-10,5,Pu240,0.0891684
M43-10,M43-10,6,Pu240,0.0892647
M43-10,M43-10,7,Pu240,0.0893885
M43-10,M43-10,8,Pu240,0.0895354
M43-10,M43-10,9,Pu240,0.0896743
M43-10,M43-10,10,Pu240,0.0899268
M43-10,M43-10,11,Pu240,0.0901473
M43-10,M43-10,12,Pu240,0.0903353
M43-10,M43-10,13,Pu240,0.0904929
M43-10,M43-10,14,Pu240,0.0906245
M43-10,M43-10,15,Pu240,0.0908009
M43-10,M43-10,16,Pu240,0.0908735
M43-10,M43-10,17,Pu240,0.0908405
M43-10,M43-10,18,Pu240,0.090707
M43-10,M43-10,19,Pu240,0.0904841
M43-10,M43-10,20,Pu240,0.0901744
M43-10,M43-10,21,Pu240,0.0893223
M43-10,M43-10,22,Pu240,0.0881907
M43-10,M43-10,23,Pu240,0.0860604
M43-10,M43-10,24,Pu240,0.0826243
M43-10,M43-10,25,Pu240,0.0787746
M43-10,M43-10,0,Pu241,0.0436048
M43-10,M43-10,1,Pu241,0.0436837
M43-10,M43-10,2,Pu241,0.0439247
M43-10,M43-10,3,Pu241,0.0441628
M43-10,M43-10,4,Pu241,0.0443994
M43-10,M43-10,5,Pu241,0.0446339
M43-10,M43-10,6,Pu241,0.044866
M43-10,M43-10,7,Pu241,0.0451706
M43-10,M43-10,8,Pu241,0.0455453
M43-10,M43-10,9,Pu241,0.045912
M43-10,M43-10,10,Pu241,0.0466237
M43-10,M43-10,11,Pu241,0.0473047
M43-10,M43-10,12,Pu241,0.0479574
M43-10,M43-10,13,Pu241,0.0485812
M43-10,M43-10,14,Pu241,0.0491717
M43-10,M43-10,15,Pu241,0.0502653
M43-10,M43-10,16,Pu241,0.0512427
M43-10,M43-10,17,Pu241,0.0521148
M43-10,M43-10,18,Pu241,0.0528819
M43-10,M43-10,19,Pu241,0.0535455
M43-10,M43-10,20,Pu241,0.0541121
M43-10,M43-10,21,Pu241,0.0549669
M43-10,M43-10,22,Pu241,0.0554816
M43-10,M43-10,23,Pu241,0.0556795
M43-10,M43-10,24,Pu241,0.0550476
M43-10,M43-10,25,Pu241,0.0536281
M43-10,M43-10,0,Pu242,0.0220792
M43-10,M43-10,1,Pu242,0.0220904
M43-10,M43-10,2,Pu242,0.0221258
M43-10,M43-10,3,Pu242,0.022162
M43-10,M43-10,4,Pu242,0.0221989
M43-10,M43-10,5,Pu242,0.0222364
M43-10,M43-10,6,Pu242,0.0222747
M43-10,M43-10,7,Pu242,0.0223269
M43-10,M43-10,8,Pu242,0.0223941
M43-10,M43-10,9,Pu242,0.0224634
M43-10,M43-10,10,Pu242,0.0226078
M43-10,M43-10,11,Pu242,0.0227603
M43-10,M43-10,12,Pu242,0.02292
M43-10,M43-10,13,Pu242,0.0230862
M43-10,M43-10,14,Pu242,0.0232604
M43-10,M43-10,15,Pu242,0.0236312
M43-10,M43-10,16,Pu242,0.0240265
M43-10,M43-10,17,Pu242,0.0244457
M43-10,M43-10,18,Pu242,0.0248881
M43-10,M43-10,19,Pu242,0.0253505
M43-10,M43-10,20,Pu242,0.0258338
M43-10,M43-10,21,Pu242,0.0268424
M43-10,M43-10,22,Pu242,0.0279065
M43-10,M43-10,23,Pu242,0.0295711
M43-10,M43-10,24,Pu242,0.0318407
M43-10,M43-10,25,Pu242,0.0341047
M43-10,M43-10,0,Am241,0.00425808
M43-10,M43-10,1,Am241,0.00425822
M43-10,M43-10,2,Am241,0.00425858
M43-10,M43-10,3,Am241,0.00425905
M43-10,M43-10,4,Am241,0.00425966
M43-10,M43-10,5,Am241,0.00426037
M43-10,M43-10,6,Am241,0.00426129
M43-10,M43-10,7,Am241,0.00426273
M43-10,M43-10,8,Am241,0.00426493
M43-10,M43-10,9,Am241,0.00426747
M43-10,M43-10,10,Am241,0.00427363
M43-10,M43-10,11,Am241,0.00428123
M43-10,M43-10,12,Am241,0.00428997
M43-10,M43-10,13,Am241,0.00429977
M43-10,M43-10,14,Am241,0.00431044
M43-10,M43-10,15,Am241,0.00433411
M43-10,M43-10,16,Am241,0.0043596
M43-10,M43-10,17,Am241,0.00438606
M43-10,M43-10,18,Am241,0.00441243
M43-10,M43-10,19,Am241,0.00443836
M43-10,M43-10,20,Am241,0.00446247
M43-10,M43-10,21,Am241,0.00450406
M43-10,M43-10,22,Am241,0.00453336
M43-10,M43-10,23,Am241,0.00454785
M43-10,M43-10,24,Am241,0.004505
M43-10,M43-10,25,Am241,0.00438734
M43-10,M43-10,0,Am243,0.0
M43-10,M43-10,1,Am243,2.80293e-05
M43-10,M43-10,2,Am243,0.00012336
M43-10,M43-10,3,Am243,0.000218293
M43-10,M43-10,4,Am243,0.000312713
M43-10,M43-10,5,Am243,0.000406677
M43-10,M43-10,6,Am243,0.00049986
M43-10,M43-10,7,Am243,0.000623364
M43-10,M43-10,8,Am243,0.00077602
M43-10,M43-10,9,Am243,0.000927322
M43-10,M43-10,10,Am243,0.00122529
M43-10,M43-10,11,Am243,0.00151709
M43-10,M43-10,12,Am243,0.00180338
M43-10,M43-10,13,Am243,0.00208508
M43-10,M43-10,14,Am243,0.00236102
M43-10,M43-10,15,Am243,0.00289555
M43-10,M43-10,16,Am243,0.00341214
M43-10,M43-10,17,Am243,0.00391188
M43-10,M43-10,18,Am243,0.00439514
M43-10,M43-10,19,Am243,0.00486391
M43-10,M43-10,20,Am243,0.00531744
M43-10,M43-10,21,Am243,0.00619258
M43-10,M43-10,22,Am243,0.00702044
M43-10,M43-10,23,Am243,0.00819333
M43-10,M43-10,24,Am243,0.00965053
M43-10,M43-10,25,Am243,0.0109879
M43-10,M43-10,0,Xe135,0.0
M43-10,M43-10,1,Xe135,3.63829e-06
M43-10,M43-10,2,Xe135,3.66993e-06
M43-10,M43-10,3,Xe135,3.66865e-06
M43-10,M43-10,4,Xe135,3.66792e-06
M43-10,M43-10,5,Xe135,3.66641e-06
M43-10,M43-10,6,Xe135,3.66378e-06
M43-10,M43-10,7,Xe135,3.65937e-06
M43-10,M43-10,8,Xe135,3.65376e-06
M43-10,M43-10,9,Xe135,3.64981e-06
M43-10,M43-10,10,Xe135,3.63671e-06
M43-10,M43-10,11,Xe135,3.62626e-06
M43-10,M43-10,12,Xe135,3.61621e-06
M43-10,M43-10,13,Xe135,3.60725e-06
M43-10,M43-10,14,Xe135,3.59807e-06
M43-10,M43-10,15,Xe135,3.56933e-06
M43-10,M43-10,16,Xe135,3.54804e-06
M43-10,M43-10,17,Xe135,3.528e-06
M43-10,M43-10,18,Xe135,3.50662e-06
M43-10,M43-10,19,Xe135,3.48531e-06
M43-10,M43-10,20,Xe135,3.46411e-06
M43-10,M43-10,21,Xe135,3.41115e-06
M43-10,M43-10,22,Xe135,3.37038e-06
M43-10,M43-10,23,Xe135,3.29967e-06
M43-10,M43-10,24,Xe135,3.21323e-06
M43-10,M43-10,25,Xe135,3.13896e-06
M43-10,M43-10,0,Sm149,0.0
M43-10,M43-10,1,Sm149,1.69525e-06
M43-10,M43-10,2,Sm149,1.38627e-05
M43-10,M43-10,3,Sm149,2.45473e-05
M43-10,M43-10,4,Sm149,3.22175e-05
M43-10,M43-10,5,Sm149,3.76171e-05
M43-10,M43-10,6,Sm149,4.14133e-05
M43-10,M43-10,7,Sm149,4.4793e-05
M43-10,M43-10,8,Sm149,4.73302e-05
M43-10,M43-10,9,Sm149,4.87883e-05
M43-10,M43-10,10,Sm149,5.02817e-05
M43-10,M43-10,11,Sm149,5.09453e-05
M43-10,M43-10,12,Sm149,5.13605e-05
M43-10,M43-10,13,Sm149,5.17345e-05
M43-10,M43-10,14,Sm149,5.2035e-05
M43-10,M43-10,15,Sm149,5.25278e-05
M43-10,M43-10,16,Sm149,5.285e-05
M43-10,M43-10,17,Sm149,5.30531e-05
M43-10,M43-10,18,Sm149,5.32e-05
M43-10,M43-10,19,Sm149,5.32344e-05
M43-10,M43-10,20,Sm149,5.32011e-05
M43-10,M43-10,21,Sm149,5.31172e-05
M43-10,M43-10,22,Sm149,5.27485e-05
M43-10,M43-10,23,Sm149,5.20394e-05
M43-10,M43-10,24,Sm149,5.09176e-05
M43-10,M43-10,25,Sm149,4.95397e-05
M43-10,M43-10,0,Cs137,0.0
M43-10,M43-10,1,Cs137,2.80169e-05
M43-10,M43-10,2,Cs137,0.000112038
M43-10,M43-10,3,Cs137,0.000196019
M43-10,M43-10,4,Cs137,0.000279987
M43-10,M43-10,5,Cs137,0.00036393
M43-10,M43-10,6,Cs137,0.000447843
M43-10,M43-10,7,Cs137,0.000559728
M43-10,M43-10,8,Cs137,0.000699591
M43-10,M43-10,9,Cs137,0.00083954
M43-10,M43-10,10,Cs137,0.00111943
M43-10,M43-10,11,Cs137,0.00139938
M43-10,M43-10,12,Cs137,0.00167954
M43-10,M43-10,13,Cs137,0.00195975
M43-10,M43-10,14,Cs137,0.0022402
M43-10,M43-10,15,Cs137,0.00280114
M43-10,M43-10,16,Cs137,0.00336259
M43-10,M43-10,17,Cs137,0.00392472
M43-10,M43-10,18,Cs137,0.00448736
M43-10,M43-10,19,Cs137,0.00505041
M43-10,M43-10,20,Cs137,0.00561429
M43-10,M43-10,21,Cs137,0.00674331
M43-10,M43-10,22,Cs137,0.00787427
M43-10,M43-10,23,Cs137,0.00957564
M43-10,M43-10,24,Cs137,0.0118539
M43-10,M43-10,25,Cs137,0.014145
M43-10,M43-10,0,Sr90,0.0
M43-10,M43-10,1,Sr90,6.30872e-06
M43-10,M43-10,2,Sr90,2.52339e-05
M43-10,M43-10,3,Sr90,4.4151e-05
M43-10,M43-10,4,Sr90,6.30711e-05
M43-10,M43-10,5,Sr90,8.19939e-05
M43-10,M43-10,6,Sr90,0.000100922
M43-10,M43-10,7,Sr90,0.00012618
M43-10,M43-10,8,Sr90,0.000157794
M43-10,M43-10,9,Sr90,0.000189477
M43-10,M43-10,10,Sr90,0.000253009
M43-10,M43-10,11,Sr90,0.000316796
M43-10,M43-10,12,Sr90,0.000380875
M43-10,M43-10,13,Sr90,0.000445219
M43-10,M43-10,14,Sr90,0.000509861
M43-10,M43-10,15,Sr90,0.000639909
M43-10,M43-10,16,Sr90,0.000771059
M43-10,M43-10,17,Sr90,0.000903326
M43-10,M43-10,18,Sr90,0.00103667
M43-10,M43-10,19,Sr90,0.00117102
M43-10,M43-10,20,Sr90,0.00130646
M43-10,M43-10,21,Sr90,0.00158028
M43-10,M43-10,22,Sr90,0.00185794
M43-10,M43-10,23,Sr90,0.00228161
M43-10,M43-10,24,Sr90,0.0028593
M43-10,M43-10,25,Sr90,0.00345095
M43-10,M43-10,0,I129,0.0
M43-10,M43-10,1,I129,4.38808e-06
M43-10,M43-10,2,I129,1.94815e-05
M43-10,M43-10,3,I129,3.45641e-05
M43-10,M43-10,4,I129,4.96428e-05
M43-10,M43-10,5,I129,6.47158e-05
M43-10,M43-10,6,I129,7.97824e-05
M43-10,M43-10,7,I129,9.98681e-05
M43-10,M43-10,8,I129,0.000124973
M43-10,M43-10,9,I129,0.000150088
M43-10,M43-10,10,I129,0.000200306
M43-10,M43-10,11,I129,0.000250516
M43-10,M43-10,12,I129,0.000300742
M43-10,M43-10,13,I129,0.000350963
M43-10,M43-10,14,I129,0.000401206
M43-10,M43-10,15,I129,0.000501654
M43-10,M43-10,16,I129,0.000602131
M43-10,M43-10,17,I129,0.000702671
M43-10,M43-10,18,I129,0.000803249
M43-10,M43-10,19,I129,0.000903854
