case,material,step,isotope,adens_atoms_per_barn_cm
M70-5,mox87,15,Nd145,7.91396e-06
M70-5,mox87,16,Nd145,9.45599e-06
M70-5,mox87,17,Nd145,1.09836e-05
M70-5,mox87,18,Nd145,1.24965e-05
M70-5,mox87,19,Nd145,1.39951e-05
M70-5,mox87,20,Nd145,1.54783e-05
M70-5,mox87,21,Nd145,1.84015e-05
M70-5,mox87,22,Nd145,2.12631e-05
M70-5,mox87,23,Nd145,2.54401e-05
M70-5,mox87,24,Nd145,3.07841e-05
M70-5,mox87,25,Nd145,3.587e-05
M70-5,mox87,0,lost,0.0
M70-5,mox87,1,lost,1.62475e-13
M70-5,mox87,2,lost,6.55842e-13
M70-5,mox87,3,lost,1.15079e-12
M70-5,mox87,4,lost,1.6475e-12
M70-5,mox87,5,lost,2.14551e-12
M70-5,mox87,6,lost,2.64485e-12
M70-5,mox87,7,lost,3.31214e-12
M70-5,mox87,8,lost,4.14908e-12
M70-5,mox87,9,lost,4.98923e-12
M70-5,mox87,10,lost,6.67661e-12
M70-5,mox87,11,lost,8.37391e-12
M70-5,mox87,12,lost,1.00804e-11
M70-5,mox87,13,lost,1.17982e-11
M70-5,mox87,14,lost,1.35242e-11
M70-5,mox87,15,lost,1.70017e-11
M70-5,mox87,16,lost,2.05136e-11
M70-5,mox87,17,lost,2.40617e-11
M70-5,mox87,18,lost,2.76433e-11
M70-5,mox87,19,lost,3.12612e-11
M70-5,mox87,20,lost,3.49128e-11
M70-5,mox87,21,lost,4.2315e-11
M70-5,mox87,22,lost,4.98522e-11
M70-5,mox87,23,lost,6.14226e-11
M70-5,mox87,24,lost,7.73104e-11
M70-5,mox87,25,lost,9.37245e-11
M70-5,mox87,0,total,0.069744
M70-5,mox87,1,total,0.0697466
M70-5,mox87,2,total,0.0697545
M70-5,mox87,3,total,0.0697624
M70-5,mox87,4,total,0.0697703
M70-5,mox87,5,total,0.0697782
M70-5,mox87,6,total,0.0697861
M70-5,mox87,7,total,0.0697967
M70-5,mox87,8,total,0.0698099
M70-5,mox87,9,total,0.0698231
M70-5,mox87,10,total,0.0698495
M70-5,mox87,11,total,0.069876
M70-5,mox87,12,total,0.0699025
M70-5,mox87,13,total,0.069929
M70-5,mox87,14,total,0.0699555
M70-5,mox87,15,total,0.0700086
M70-5,mox87,16,total,0.0700618
M70-5,mox87,17,total,0.0701151
M70-5,mox87,18,total,0.0701683
M70-5,mox87,19,total,0.0702217
M70-5,mox87,20,total,0.070275
M70-5,mox87,21,total,0.0703818
M70-5,mox87,22,total,0.0704886
M70-5,mox87,23,total,0.0706489
M70-5,mox87,24,total,0.0708624
M70-5,mox87,25,total,0.0710757
M87-10,M87-10,0,Th232,0.00242173
M87-10,M87-10,1,Th232,0.00242147
M87-10,M87-10,2,Th232,0.00242069
M87-10,M87-10,3,Th232,0.00241991
M87-10,M87-10,4,Th232,0.00241912
M87-10,M87-10,5,Th232,0.00241834
M87-10,M87-10,6,Th232,0.00241755
M87-10,M87-10,7,Th232,0.0024165
M87-10,M87-10,8,Th232,0.00241518
M87-10,M87-10,9,Th232,0.00241385
M87-10,M87-10,10,Th232,0.0024112
M87-10,M87-10,11,Th232,0.00240853
M87-10,M87-10,12,Th232,0.00240585
M87-10,M87-10,13,Th232,0.00240315
M87-10,M87-10,14,Th232,0.00240045
M87-10,M87-10,15,Th232,0.002395
M87-10,M87-10,16,Th232,0.0023895
M87-10,M87-10,17,Th232,0.00238395
M87-10,M87-10,18,Th232,0.00237837
M87-10,M87-10,19,Th232,0.00237273
M87-10,M87-10,20,Th232,0.00236704
M87-10,M87-10,21,Th232,0.00235552
M87-10,M87-10,22,Th232,0.00234381
M87-10,M87-10,23,Th232,0.0023259
M87-10,M87-10,24,Th232,0.00230139
M87-10,M87-10,25,Th232,0.00227615
M87-10,M87-10,0,Th233,0.0
M87-10,M87-10,1,Th233,2.10786e-09
M87-10,M87-10,2,Th233,2.13211e-09
M87-10,M87-10,3,Th233,2.13593e-09
M87-10,M87-10,4,Th233,2.14452e-09
M87-10,M87-10,5,Th233,2.14863e-09
M87-10,M87-10,6,Th233,2.1533e-09
M87-10,M87-10,7,Th233,2.15869e-09
M87-10,M87-10,8,Th233,2.16427e-09
M87-10,M87-10,9,Th233,2.16849e-09
M87-10,M87-10,10,Th233,2.17493e-09
M87-10,M87-10,11,Th233,2.18513e-09
M87-10,M87-10,12,Th233,2.19755e-09
M87-10,M87-10,13,Th233,2.20983e-09
M87-10,M87-10,14,Th233,2.21606e-09
M87-10,M87-10,15,Th233,2.23199e-09
M87-10,M87-10,16,Th233,2.25108e-09
M87-10,M87-10,17,Th233,2.27192e-09
M87-10,M87-10,18,Th233,2.28807e-09
M87-10,M87-10,19,Th233,2.30909e-09
M87-10,M87-10,20,Th233,2.32976e-09
M87-10,M87-10,21,Th233,2.35689e-09
M87-10,M87-10,22,Th233,2.39492e-09
M87-10,M87-10,23,Th233,2.44048e-09
M87-10,M87-10,24,Th233,2.50088e-09
M87-10,M87-10,25,Th233,2.57564e-09
M87-10,M87-10,0,Pa233,0.0
M87-10,M87-10,1,Pa233,2.40644e-07
M87-10,M87-10,2,Pa233,8.84733e-07
M87-10,M87-10,3,Pa233,1.41067e-06
M87-10,M87-10,4,Pa233,1.84186e-06
M87-10,M87-10,5,Pa233,2.19445e-06
M87-10,M87-10,6,Pa233,2.48317e-06
M87-10,M87-10,7,Pa233,2.78892e-06
M87-10,M87-10,8,Pa233,3.07326e-06
M87-10,M87-10,9,Pa233,3.27741e-06
M87-10,M87-10,10,Pa233,3.53147e-06
M87-10,M87-10,11,Pa233,3.66846e-06
M87-10,M87-10,12,Pa233,3.74826e-06
M87-10,M87-10,13,Pa233,3.79907e-06
M87-10,M87-10,14,Pa233,3.83005e-06
M87-10,M87-10,15,Pa233,3.8752e-06
M87-10,M87-10,16,Pa233,3.91134e-06
M87-10,M87-10,17,Pa233,3.94739e-06
M87-10,M87-10,18,Pa233,3.97733e-06
M87-10,M87-10,19,Pa233,4.01201e-06
M87-10,M87-10,20,Pa233,4.04747e-06
M87-10,M87-10,21,Pa233,4.10429e-06
M87-10,M87-10,22,Pa233,4.16939e-06
M87-10,M87-10,23,Pa233,4.25199e-06
M87-10,M87-10,24,Pa233,4.3568e-06
M87-10,M87-10,25,Pa233,4.48502e-06
M87-10,M87-10,0,Pa234,0.0
M87-10,M87-10,1,Pa234,2.16502e-11
M87-10,M87-10,2,Pa234,9.16109e-11
M87-10,M87-10,3,Pa234,1.48836e-10
M87-10,M87-10,4,Pa234,1.96066e-10
M87-10,M87-10,5,Pa234,2.34549e-10
M87-10,M87-10,6,Pa234,2.66123e-10
M87-10,M87-10,7,Pa234,2.99637e-10
M87-10,M87-10,8,Pa234,3.30992e-10
M87-10,M87-10,9,Pa234,3.53463e-10
M87-10,M87-10,10,Pa234,3.81696e-10
M87-10,M87-10,11,Pa234,3.97356e-10
M87-10,M87-10,12,Pa234,4.06806e-10
M87-10,M87-10,13,Pa234,4.13178e-10
M87-10,M87-10,14,Pa234,4.1717e-10
M87-10,M87-10,15,Pa234,4.23381e-10
M87-10,M87-10,16,Pa234,4.28648e-10
M87-10,M87-10,17,Pa234,4.34415e-10
M87-10,M87-10,18,Pa234,4.39353e-10
M87-10,M87-10,19,Pa234,4.45122e-10
M87-10,M87-10,20,Pa234,4.5081e-10
M87-10,M87-10,21,Pa234,4.60898e-10
M87-10,M87-10,22,Pa234,4.72095e-10
M87-10,M87-10,23,Pa234,4.86969e-10
M87-10,M87-10,24,Pa234,5.09575e-10
M87-10,M87-10,25,Pa234,5.36355e-10
M87-10,M87-10,0,U233,0.0
M87-10,M87-10,1,U233,8.06955e-09
M87-10,M87-10,2,U233,1.22916e-07
M87-10,M87-10,3,U233,3.53769e-07
M87-10,M87-10,4,U233,6.78712e-07
M87-10,M87-10,5,U233,1.07989e-06
M87-10,M87-10,6,U233,1.54265e-06
M87-10,M87-10,7,U233,2.23518e-06
M87-10,M87-10,8,U233,3.19172e-06
M87-10,M87-10,9,U233,4.21924e-06
M87-10,M87-10,10,U233,6.40119e-06
M87-10,M87-10,11,U233,8.66417e-06
M87-10,M87-10,12,U233,1.09509e-05
M87-10,M87-10,13,U233,1.32329e-05
M87-10,M87-10,14,U233,1.5494e-05
M87-10,M87-10,15,U233,1.99297e-05
M87-10,M87-10,16,U233,2.42298e-05
M87-10,M87-10,17,U233,2.83917e-05
M87-10,M87-10,18,U233,3.24115e-05
M87-10,M87-10,19,U233,3.62923e-05
M87-10,M87-10,20,U233,4.00397e-05
M87-10,M87-10,21,U233,4.71477e-05
M87-10,M87-10,22,U233,5.37217e-05
M87-10,M87-10,23,U233,6.26508e-05
M87-10,M87-10,24,U233,7.28275e-05
M87-10,M87-10,25,U233,8.11479e-05
M87-10,M87-10,0,U234,0.0
M87-10,M87-10,1,U234,2.2531e-09
M87-10,M87-10,2,U234,1.09554e-08
M87-10,M87-10,3,U234,2.22527e-08
M87-10,M87-10,4,U234,3.57797e-08
M87-10,M87-10,5,U234,5.12221e-08
M87-10,M87-10,6,U234,6.83277e-08
M87-10,M87-10,7,U234,9.3374e-08
M87-10,M87-10,8,U234,1.27756e-07
M87-10,M87-10,9,U234,1.65016e-07
M87-10,M87-10,10,U234,2.46659e-07
M87-10,M87-10,11,U234,3.36247e-07
M87-10,M87-10,12,U234,4.32645e-07
M87-10,M87-10,13,U234,5.35291e-07
M87-10,M87-10,14,U234,6.43784e-07
M87-10,M87-10,15,U234,8.77719e-07
M87-10,M87-10,16,U234,1.13292e-06
M87-10,M87-10,17,U234,1.40865e-06
M87-10,M87-10,18,U234,1.70428e-06
M87-10,M87-10,19,U234,2.01856e-06
M87-10,M87-10,20,U234,2.35106e-06
M87-10,M87-10,21,U234,3.06969e-06
M87-10,M87-10,22,U234,3.85167e-06
M87-10,M87-10,23,U234,5.13185e-06
M87-10,M87-10,24,U234,7.01186e-06
M87-10,M87-10,25,U234,9.0462e-06
M87-10,M87-10,0,U235,5.3009e-05
M87-10,M87-10,1,U235,5.29435e-05
M87-10,M87-10,2,U235,5.27471e-05
M87-10,M87-10,3,U235,5.25511e-05
M87-10,M87-10,4,U235,5.23553e-05
M87-10,M87-10,5,U235,5.21597e-05
M87-10,M87-10,6,U235,5.19646e-05
M87-10,M87-10,7,U235,5.1705e-05
M87-10,M87-10,8,U235,5.13814e-05
M87-10,M87-10,9,U235,5.1059e-05
M87-10,M87-10,10,U235,5.04176e-05
M87-10,M87-10,11,U235,4.97806e-05
M87-10,M87-10,12,U235,4.91483e-05
M87-10,M87-10,13,U235,4.85208e-05
M87-10,M87-10,14,U235,4.78981e-05
M87-10,M87-10,15,U235,4.66675e-05
M87-10,M87-10,16,U235,4.54563e-05
M87-10,M87-10,17,U235,4.42657e-05
M87-10,M87-10,18,U235,4.30955e-05
M87-10,M87-10,19,U235,4.19465e-05
M87-10,M87-10,20,U235,4.08194e-05
M87-10,M87-10,21,U235,3.86315e-05
M87-10,M87-10,22,U235,3.65339e-05
M87-10,M87-10,23,U235,3.35631e-05
M87-10,M87-10,24,U235,2.99402e-05
M87-10,M87-10,25,U235,2.67166e-05
M87-10,M87-10,0,U236,0.0
M87-10,M87-10,1,U236,1.70735e-08
M87-10,M87-10,2,U236,6.84324e-08
M87-10,M87-10,3,U236,1.19623e-07
M87-10,M87-10,4,U236,1.70655e-07
M87-10,M87-10,5,U236,2.21545e-07
M87-10,M87-10,6,U236,2.72266e-07
M87-10,M87-10,7,U236,3.39649e-07
M87-10,M87-10,8,U236,4.2342e-07
M87-10,M87-10,9,U236,5.06652e-07
M87-10,M87-10,10,U236,6.7157e-07
M87-10,M87-10,11,U236,8.34571e-07
M87-10,M87-10,12,U236,9.95513e-07
M87-10,M87-10,13,U236,1.15438e-06
M87-10,M87-10,14,U236,1.31126e-06
M87-10,M87-10,15,U236,1.61908e-06
M87-10,M87-10,16,U236,1.91922e-06
M87-10,M87-10,17,U236,2.21125e-06
M87-10,M87-10,18,U236,2.49589e-06
M87-10,M87-10,19,U236,2.77312e-06
M87-10,M87-10,20,U236,3.04263e-06
M87-10,M87-10,21,U236,3.55933e-06
M87-10,M87-10,22,U236,4.0468e-06
M87-10,M87-10,23,U236,4.72535e-06
M87-10,M87-10,24,U236,5.53485e-06
M87-10,M87-10,25,U236,6.24252e-06
M87-10,M87-10,0,U237,0.0
M87-10,M87-10,1,U237,7.96699e-09
M87-10,M87-10,2,U237,2.24151e-08
M87-10,M87-10,3,U237,2.90655e-08
M87-10,M87-10,4,U237,3.21956e-08
M87-10,M87-10,5,U237,3.37397e-08
M87-10,M87-10,6,U237,3.44192e-08
M87-10,M87-10,7,U237,3.49146e-08
M87-10,M87-10,8,U237,3.53732e-08
M87-10,M87-10,9,U237,3.56401e-08
M87-10,M87-10,10,U237,3.61569e-08
M87-10,M87-10,11,U237,3.67553e-08
M87-10,M87-10,12,U237,3.71517e-08
M87-10,M87-10,13,U237,3.75841e-08
M87-10,M87-10,14,U237,3.80475e-08
M87-10,M87-10,15,U237,3.88356e-08
M87-10,M87-10,16,U237,3.98547e-08
M87-10,M87-10,17,U237,4.056e-08
M87-10,M87-10,18,U237,4.14278e-08
M87-10,M87-10,19,U237,4.21896e-08
M87-10,M87-10,20,U237,4.3076e-08
M87-10,M87-10,21,U237,4.44682e-08
M87-10,M87-10,22,U237,4.59356e-08
M87-10,M87-10,23,U237,4.80007e-08
M87-10,M87-10,24,U237,5.04973e-08
M87-10,M87-10,25,U237,5.32002e-08
M87-10,M87-10,0,U238,0.018824
M87-10,M87-10,1,U238,0.0188228
M87-10,M87-10,2,U238,0.0188191
M87-10,M87-10,3,U238,0.0188154
M87-10,M87-10,4,U238,0.0188117
M87-10,M87-10,5,U238,0.018808
M87-10,M87-10,6,U238,0.0188042
M87-10,M87-10,7,U238,0.0187993
M87-10,M87-10,8,U238,0.018793
M87-10,M87-10,9,U238,0.0187868
M87-10,M87-10,10,U238,0.0187742
M87-10,M87-10,11,U238,0.0187616
M87-10,M87-10,12,U238,0.0187489
M87-10,M87-10,13,U238,0.0187362
M87-10,M87-10,14,U238,0.0187234
M87-10,M87-10,15,U238,0.0186977
M87-10,M87-10,16,U238,0.0186718
M87-10,M87-10,17,U238,0.0186456
M87-10,M87-10,18,U238,0.0186193
M87-10,M87-10,19,U238,0.0185927
M87-10,M87-10,20,U238,0.0185659
M87-10,M87-10,21,U238,0.0185117
M87-10,M87-10,22,U238,0.0184567
M87-10,M87-10,23,U238,0.0183725
M87-10,M87-10,24,U238,0.0182572
M87-10,M87-10,25,U238,0.0181386
M87-10,M87-10,0,Np237,0.0
M87-10,M87-10,1,Np237,1.35872e-09
M87-10,M87-10,2,Np237,1.50211e-08
M87-10,M87-10,3,Np237,3.66561e-08
M87-10,M87-10,4,Np237,6.19271e-08
M87-10,M87-10,5,Np237,8.8877e-08
M87-10,M87-10,6,Np237,1.16556e-07
M87-10,M87-10,7,Np237,1.53895e-07
M87-10,M87-10,8,Np237,2.00903e-07
M87-10,M87-10,9,Np237,2.48029e-07
M87-10,M87-10,10,Np237,3.42367e-07
M87-10,M87-10,11,Np237,4.3685e-07
M87-10,M87-10,12,Np237,5.31155e-07
M87-10,M87-10,13,Np237,6.25184e-07
M87-10,M87-10,14,Np237,7.19004e-07
M87-10,M87-10,15,Np237,9.05829e-07
M87-10,M87-10,16,Np237,1.09214e-06
M87-10,M87-10,17,Np237,1.27664e-06
M87-10,M87-10,18,Np237,1.45973e-06
M87-10,M87-10,19,Np237,1.64094e-06
M87-10,M87-10,20,Np237,1.82079e-06
M87-10,M87-10,21,Np237,2.17485e-06
M87-10,M87-10,22,Np237,2.51976e-06
M87-10,M87-10,23,Np237,3.01987e-06
M87-10,M87-10,24,Np237,3.64656e-06
M87-10,M87-10,25,Np237,4.22746e-06
M87-10,M87-10,0,Np239,0.0
M87-10,M87-10,1,Np239,7.29288e-07
M87-10,M87-10,2,Np239,1.31976e-06
M87-10,M87-10,3,Np239,1.3817e-06
M87-10,M87-10,4,Np239,1.39087e-06
M87-10,M87-10,5,Np239,1.39477e-06
M87-10,M87-10,6,Np239,1.39837e-06
M87-10,M87-10,7,Np239,1.4017e-06
M87-10,M87-10,8,Np239,1.40599e-06
M87-10,M87-10,9,Np239,1.40825e-06
M87-10,M87-10,10,Np239,1.41371e-06
M87-10,M87-10,11,Np239,1.42061e-06
M87-10,M87-10,12,Np239,1.42752e-06
M87-10,M87-10,13,Np239,1.43359e-06
M87-10,M87-10,14,Np239,1.43983e-06
M87-10,M87-10,15,Np239,1.44816e-06
M87-10,M87-10,16,Np239,1.46092e-06
M87-10,M87-10,17,Np239,1.47239e-06
M87-10,M87-10,18,Np239,1.48522e-06
M87-10,M87-10,19,Np239,1.4973e-06
M87-10,M87-10,20,Np239,1.50979e-06
M87-10,M87-10,21,Np239,1.52668e-06
M87-10,M87-10,22,Np239,1.55119e-06
M87-10,M87-10,23,Np239,1.58079e-06
M87-10,M87-10,24,Np239,1.62324e-06
M87-10,M87-10,25,Np239,1.6726e-06
M87-10,M87-10,0,Pu238,3.70363e-05
M87-10,M87-10,1,Pu238,3.70066e-05
M87-10,M87-10,2,Pu238,3.69202e-05
M87-10,M87-10,3,Pu238,3.68381e-05
M87-10,M87-10,4,Pu238,3.67602e-05
M87-10,M87-10,5,Pu238,3.66863e-05
M87-10,M87-10,6,Pu238,3.66165e-05
M87-10,M87-10,7,Pu238,3.65294e-05
M87-10,M87-10,8,Pu238,3.64298e-05
M87-10,M87-10,9,Pu238,3.63401e-05
M87-10,M87-10,10,Pu238,3.61881e-05
M87-10,M87-10,11,Pu238,3.60696e-05
M87-10,M87-10,12,Pu238,3.59816e-05
M87-10,M87-10,13,Pu238,3.59208e-05
M87-10,M87-10,14,Pu238,3.5885e-05
M87-10,M87-10,15,Pu238,3.58795e-05
M87-10,M87-10,16,Pu238,3.59481e-05
M87-10,M87-10,17,Pu238,3.60784e-05
M87-10,M87-10,18,Pu238,3.626e-05
M87-10,M87-10,19,Pu238,3.64856e-05
M87-10,M87-10,20,Pu238,3.67478e-05
M87-10,M87-10,21,Pu238,3.73596e-05
M87-10,M87-10,22,Pu238,3.80624e-05
M87-10,M87-10,23,Pu238,3.92347e-05
M87-10,M87-10,24,Pu238,4.09178e-05
M87-10,M87-10,25,Pu238,4.26216e-05
M87-10,M87-10,0,Pu239,0.0011675
M87-10,M87-10,1,Pu239,0.00116495
M87-10,M87-10,2,Pu239,0.00115894
M87-10,M87-10,3,Pu239,0.00115348
M87-10,M87-10,4,Pu239,0.0011481
M87-10,M87-10,5,Pu239,0.00114274
M87-10,M87-10,6,Pu239,0.0011374
M87-10,M87-10,7,Pu239,0.00113031
M87-10,M87-10,8,Pu239,0.00112151
M87-10,M87-10,9,Pu239,0.00111276
M87-10,M87-10,10,Pu239,0.00109541
M87-10,M87-10,11,Pu239,0.00107828
M87-10,M87-10,12,Pu239,0.00106135
M87-10,M87-10,13,Pu239,0.00104463
M87-10,M87-10,14,Pu239,0.00102811
M87-10,M87-10,15,Pu239,0.0009957
M87-10,M87-10,16,Pu239,0.000964075
M87-10,M87-10,17,Pu239,0.00093322
M87-10,M87-10,18,Pu239,0.000903197
M87-10,M87-10,19,Pu239,0.000873966
M87-10,M87-10,20,Pu239,0.000845535
M87-10,M87-10,21,Pu239,0.000791089
M87-10,M87-10,22,Pu239,0.000739707
M87-10,M87-10,23,Pu239,0.000668466
M87-10,M87-10,24,Pu239,0.000584209
M87-10,M87-10,25,Pu239,0.000511618
M87-10,M87-10,0,Pu240,0.00045157
M87-10,M87-10,1,Pu240,0.000451706
M87-10,M87-10,2,Pu240,0.000452096
M87-10,M87-10,3,Pu240,0.000452475
M87-10,M87-10,4,Pu240,0.000452842
M87-10,M87-10,5,Pu240,0.000453201
M87-10,M87-10,6,Pu240,0.000453548
M87-10,M87-10,7,Pu240,0.000453994
M87-10,M87-10,8,Pu240,0.000454535
M87-10,M87-10,9,Pu240,0.000455049
M87-10,M87-10,10,Pu240,0.000456004
M87-10,M87-10,11,Pu240,0.000456861
M87-10,M87-10,12,Pu240,0.000457627
M87-10,M87-10,13,Pu240,0.000458304
M87-10,M87-10,14,Pu240,0.000458891
M87-10,M87-10,15,Pu240,0.000459766
M87-10,M87-10,16,Pu240,0.000460311
M87-10,M87-10,17,Pu240,0.000460494
M87-10,M87-10,18,Pu240,0.000460333
M87-10,M87-10,19,Pu240,0.000459816
M87-10,M87-10,20,Pu240,0.000458963
M87-10,M87-10,21,Pu240,0.000456268
M87-10,M87-10,22,Pu240,0.000452289
M87-10,M87-10,23,Pu240,0.000443953
M87-10,M87-10,24,Pu240,0.000428856
M87-10,M87-10,25,Pu240,0.000409845
M87-10,M87-10,0,Pu241,0.00022105
M87-10,M87-10,1,Pu241,0.000221237
M87-10,M87-10,2,Pu241,0.000221809
M87-10,M87-10,3,Pu241,0.00022238
M87-10,M87-10,4,Pu241,0.000222948
M87-10,M87-10,5,Pu241,0.000223511
M87-10,M87-10,6,Pu241,0.000224071
M87-10,M87-10,7,Pu241,0.000224814
M87-10,M87-10,8,Pu241,0.000225725
M87-10,M87-10,9,Pu241,0.000226619
M87-10,M87-10,10,Pu241,0.000228365
M87-10,M87-10,11,Pu241,0.000230046
M87-10,M87-10,12,Pu241,0.000231664
M87-10,M87-10,13,Pu241,0.000233212
M87-10,M87-10,14,Pu241,0.000234696
M87-10,M87-10,15,Pu241,0.000237483
M87-10,M87-10,16,Pu241,0.00023999
M87-10,M87-10,17,Pu241,0.000242257
M87-10,M87-10,18,Pu241,0.000244253
M87-10,M87-10,19,Pu241,0.000246012
M87-10,M87-10,20,Pu241,0.000247516
M87-10,M87-10,21,Pu241,0.000249761
M87-10,M87-10,22,Pu241,0.000251032
M87-10,M87-10,23,Pu241,0.00025126
M87-10,M87-10,24,Pu241,0.000248447
M87-10,M87-10,25,Pu241,0.000242405
M87-10,M87-10,0,Pu242,0.000111462
M87-10,M87-10,1,Pu242,0.000111496
M87-10,M87-10,2,Pu242,0.000111604
M87-10,M87-10,3,Pu242,0.000111715
M87-10,M87-10,4,Pu242,0.000111827
M87-10,M87-10,5,Pu242,0.000111941
M87-10,M87-10,6,Pu242,0.000112056
M87-10,M87-10,7,Pu242,0.000112213
M87-10,M87-10,8,Pu242,0.000112414
M87-10,M87-10,9,Pu242,0.000112618
M87-10,M87-10,10,Pu242,0.00011304
M87-10,M87-10,11,Pu242,0.00011348
M87-10,M87-10,12,Pu242,0.000113938
M87-10,M87-10,13,Pu242,0.000114416
M87-10,M87-10,14,Pu242,0.000114915
M87-10,M87-10,15,Pu242,0.00011596
M87-10,M87-10,16,Pu242,0.00011708
M87-10,M87-10,17,Pu242,0.000118269
M87-10,M87-10,18,Pu242,0.000119531
M87-10,M87-10,19,Pu242,0.00012086
M87-10,M87-10,20,Pu242,0.000122258
M87-10,M87-10,21,Pu242,0.000125231
M87-10,M87-10,22,Pu242,0.000128448
M87-10,M87-10,23,Pu242,0.000133639
M87-10,M87-10,24,Pu242,0.000141183
M87-10,M87-10,25,Pu242,0.000149236
M87-10,M87-10,0,Am241,2.15854e-05
M87-10,M87-10,1,Am241,2.16028e-05
M87-10,M87-10,2,Am241,2.16539e-05
M87-10,M87-10,3,Am241,2.17048e-05
M87-10,M87-10,4,Am241,2.17554e-05
M87-10,M87-10,5,Am241,2.18057e-05
M87-10,M87-10,6,Am241,2.1856e-05
M87-10,M87-10,7,Am241,2.19225e-05
M87-10,M87-10,8,Am241,2.20055e-05
M87-10,M87-10,9,Am241,2.20884e-05
M87-10,M87-10,10,Am241,2.22523e-05
M87-10,M87-10,11,Am241,2.24149e-05
M87-10,M87-10,12,Am241,2.25752e-05
M87-10,M87-10,13,Am241,2.27334e-05
M87-10,M87-10,14,Am241,2.28888e-05
M87-10,M87-10,15,Am241,2.3191e-05
M87-10,M87-10,16,Am241,2.34814e-05
M87-10,M87-10,17,Am241,2.37553e-05
M87-10,M87-10,18,Am241,2.40128e-05
M87-10,M87-10,19,Am241,2.42502e-05
M87-10,M87-10,20,Am241,2.4468e-05
M87-10,M87-10,21,Am241,2.48392e-05
M87-10,M87-10,22,Am241,2.51122e-05
M87-10,M87-10,23,Am241,2.53271e-05
M87-10,M87-10,24,Am241,2.5231e-05
M87-10,M87-10,25,Am241,2.46904e-05
M87-10,M87-10,0,Am243,0.0
M87-10,M87-10,1,Am243,1.05529e-07
M87-10,M87-10,2,Am243,4.67127e-07
M87-10,M87-10,3,Am243,8.26138e-07
M87-10,M87-10,4,Am243,1.18371e-06
M87-10,M87-10,5,Am243,1.53839e-06
M87-10,M87-10,6,Am243,1.89178e-06
M87-10,M87-10,7,Am243,2.35902e-06
M87-10,M87-10,8,Am243,2.93737e-06
M87-10,M87-10,9,Am243,3.51105e-06
M87-10,M87-10,10,Am243,4.6416e-06
M87-10,M87-10,11,Am243,5.75157e-06
M87-10,M87-10,12,Am243,6.84039e-06
M87-10,M87-10,13,Am243,7.90729e-06
M87-10,M87-10,14,Am243,8.95271e-06
M87-10,M87-10,15,Am243,1.09919e-05
M87-10,M87-10,16,Am243,1.29579e-05
M87-10,M87-10,17,Am243,1.48585e-05
M87-10,M87-10,18,Am243,1.66906e-05
M87-10,M87-10,19,Am243,1.84612e-05
M87-10,M87-10,20,Am243,2.01746e-05
M87-10,M87-10,21,Am243,2.34543e-05
M87-10,M87-10,22,Am243,2.65442e-05
M87-10,M87-10,23,Am243,3.09e-05
M87-10,M87-10,24,Am243,3.6209e-05
M87-10,M87-10,25,Am243,4.10176e-05
M87-10,M87-10,0,Xe135,0.0
M87-10,M87-10,1,Xe135,2.62639e-08
M87-10,M87-10,2,Xe135,2.65853e-08
M87-10,M87-10,3,Xe135,2.65649e-08
M87-10,M87-10,4,Xe135,2.65598e-08
M87-10,M87-10,5,Xe135,2.65478e-08
M87-10,M87-10,6,Xe135,2.65259e-08
M87-10,M87-10,7,Xe135,2.64991e-08
M87-10,M87-10,8,Xe135,2.64633e-08
M87-10,M87-10,9,Xe135,2.64091e-08
M87-10,M87-10,10,Xe135,2.62878e-08
M87-10,M87-10,11,Xe135,2.62037e-08
M87-10,M87-10,12,Xe135,2.6126e-08
M87-10,M87-10,13,Xe135,2.60327e-08
M87-10,M87-10,14,Xe135,2.59548e-08
M87-10,M87-10,15,Xe135,2.56863e-08
M87-10,M87-10,16,Xe135,2.54961e-08
M87-10,M87-10,17,Xe135,2.53096e-08
M87-10,M87-10,18,Xe135,2.51032e-08
M87-10,M87-10,19,Xe135,2.49077e-08
M87-10,M87-10,20,Xe135,2.46915e-08
M87-10,M87-10,21,Xe135,2.4137e-08
M87-10,M87-10,22,Xe135,2.37041e-08
M87-10,M87-10,23,Xe135,2.29239e-08
M87-10,M87-10,24,Xe135,2.19069e-08
M87-10,M87-10,25,Xe135,2.09728e-08
M87-10,M87-10,0,Sm149,0.0
M87-10,M87-10,1,Sm149,9.41374e-09
M87-10,M87-10,2,Sm149,8.0874e-08
M87-10,M87-10,3,Sm149,1.50363e-07
M87-10,M87-10,4,Sm149,2.06438e-07
M87-10,M87-10,5,Sm149,2.50903e-07
M87-10,M87-10,6,Sm149,2.86133e-07
M87-10,M87-10,7,Sm149,3.22045e-07
M87-10,M87-10,8,Sm149,3.53849e-07
M87-10,M87-10,9,Sm149,3.7537e-07
M87-10,M87-10,10,Sm149,4.00108e-07
M87-10,M87-10,11,Sm149,4.11732e-07
M87-10,M87-10,12,Sm149,4.1763e-07
M87-10,M87-10,13,Sm149,4.20484e-07
M87-10,M87-10,14,Sm149,4.21988e-07
M87-10,M87-10,15,Sm149,4.22823e-07
M87-10,M87-10,16,Sm149,4.21896e-07
M87-10,M87-10,17,Sm149,4.20408e-07
M87-10,M87-10,18,Sm149,4.18255e-07
