case,material,step,isotope,adens_atoms_per_barn_cm
M43-10,M43-10,10,Pu238,1.773e-05
M43-10,M43-10,11,Pu238,1.76598e-05
M43-10,M43-10,12,Pu238,1.76087e-05
M43-10,M43-10,13,Pu238,1.75751e-05
M43-10,M43-10,14,Pu238,1.75573e-05
M43-10,M43-10,15,Pu238,1.75626e-05
M43-10,M43-10,16,Pu238,1.76137e-05
M43-10,M43-10,17,Pu238,1.77023e-05
M43-10,M43-10,18,Pu238,1.78218e-05
M43-10,M43-10,19,Pu238,1.79674e-05
M43-10,M43-10,20,Pu238,1.81343e-05
M43-10,M43-10,21,Pu238,1.85201e-05
M43-10,M43-10,22,Pu238,1.89581e-05
M43-10,M43-10,23,Pu238,1.96775e-05
M43-10,M43-10,24,Pu238,2.06971e-05
M43-10,M43-10,25,Pu238,2.17156e-05
M43-10,M43-10,0,Pu239,0.000575359
M43-10,M43-10,1,Pu239,0.000573607
M43-10,M43-10,2,Pu239,0.000570136
M43-10,M43-10,3,Pu239,0.000567247
M43-10,M43-10,4,Pu239,0.000564437
M43-10,M43-10,5,Pu239,0.000561653
M43-10,M43-10,6,Pu239,0.00055889
M43-10,M43-10,7,Pu239,0.000555235
M43-10,M43-10,8,Pu239,0.000550714
M43-10,M43-10,9,Pu239,0.00054624
M43-10,M43-10,10,Pu239,0.000537438
M43-10,M43-10,11,Pu239,0.000528837
M43-10,M43-10,12,Pu239,0.000520425
M43-10,M43-10,13,Pu239,0.000512208
M43-10,M43-10,14,Pu239,0.000504169
M43-10,M43-10,15,Pu239,0.000488648
M43-10,M43-10,16,Pu239,0.000473824
M43-10,M43-10,17,Pu239,0.000459656
M43-10,M43-10,18,Pu239,0.000446184
M43-10,M43-10,19,Pu239,0.000433337
M43-10,M43-10,20,Pu239,0.000421098
M43-10,M43-10,21,Pu239,0.000398375
M43-10,M43-10,22,Pu239,0.000377867
M43-10,M43-10,23,Pu239,0.000350811
M43-10,M43-10,24,Pu239,0.000320822
M43-10,M43-10,25,Pu239,0.000296568
M43-10,M43-10,0,Pu240,0.000222539
M43-10,M43-10,1,Pu240,0.000222636
M43-10,M43-10,2,Pu240,0.000222913
M43-10,M43-10,3,Pu240,0.000223182
M43-10,M43-10,4,Pu240,0.00022344
M43-10,M43-10,5,Pu240,0.00022369
M43-10,M43-10,6,Pu240,0.000223931
M43-10,M43-10,7,Pu240,0.000224242
M43-10,M43-10,8,Pu240,0.00022461
M43-10,M43-10,9,Pu240,0.000224959
M43-10,M43-10,10,Pu240,0.000225592
M43-10,M43-10,11,Pu240,0.000226145
M43-10,M43-10,12,Pu240,0.000226617
M43-10,M43-10,13,Pu240,0.000227012
M43-10,M43-10,14,Pu240,0.000227342
M43-10,M43-10,15,Pu240,0.000227785
M43-10,M43-10,16,Pu240,0.000227967
M43-10,M43-10,17,Pu240,0.000227884
M43-10,M43-10,18,Pu240,0.000227549
M43-10,M43-10,19,Pu240,0.00022699
M43-10,M43-10,20,Pu240,0.000226213
M43-10,M43-10,21,Pu240,0.000224075
M43-10,M43-10,22,Pu240,0.000221237
M43-10,M43-10,23,Pu240,0.000215893
M43-10,M43-10,24,Pu240,0.000207273
M43-10,M43-10,25,Pu240,0.000197616
M43-10,M43-10,0,Pu241,0.000108937
M43-10,M43-10,1,Pu241,0.000109134
M43-10,M43-10,2,Pu241,0.000109736
M43-10,M43-10,3,Pu241,0.000110331
M43-10,M43-10,4,Pu241,0.000110922
M43-10,M43-10,5,Pu241,0.000111507
M43-10,M43-10,6,Pu241,0.000112087
M43-10,M43-10,7,Pu241,0.000112848
M43-10,M43-10,8,Pu241,0.000113784
M43-10,M43-10,9,Pu241,0.0001147
M43-10,M43-10,10,Pu241,0.000116479
M43-10,M43-10,11,Pu241,0.00011818
M43-10,M43-10,12,Pu241,0.00011981
M43-10,M43-10,13,Pu241,0.000121369
M43-10,M43-10,14,Pu241,0.000122844
M43-10,M43-10,15,Pu241,0.000125576
M43-10,M43-10,16,Pu241,0.000128018
M43-10,M43-10,17,Pu241,0.000130197
M43-10,M43-10,18,Pu241,0.000132113
M43-10,M43-10,19,Pu241,0.000133771
M43-10,M43-10,20,Pu241,0.000135187
M43-10,M43-10,21,Pu241,0.000137322
M43-10,M43-10,22,Pu241,0.000138608
M43-10,M43-10,23,Pu241,0.000139102
M43-10,M43-10,24,Pu241,0.000137524
M43-10,M43-10,25,Pu241,0.000133977
M43-10,M43-10,0,Pu242,5.49296e-05
M43-10,M43-10,1,Pu242,5.49576e-05
M43-10,M43-10,2,Pu242,5.50457e-05
M43-10,M43-10,3,Pu242,5.51358e-05
M43-10,M43-10,4,Pu242,5.52274e-05
M43-10,M43-10,5,Pu242,5.53207e-05
M43-10,M43-10,6,Pu242,5.5416e-05
M43-10,M43-10,7,Pu242,5.55458e-05
M43-10,M43-10,8,Pu242,5.57131e-05
M43-10,M43-10,9,Pu242,5.58855e-05
M43-10,M43-10,10,Pu242,5.62447e-05
M43-10,M43-10,11,Pu242,5.66241e-05
M43-10,M43-10,12,Pu242,5.70216e-05
M43-10,M43-10,13,Pu242,5.74348e-05
M43-10,M43-10,14,Pu242,5.78683e-05
M43-10,M43-10,15,Pu242,5.87908e-05
M43-10,M43-10,16,Pu242,5.97742e-05
M43-10,M43-10,17,Pu242,6.08171e-05
M43-10,M43-10,18,Pu242,6.19179e-05
M43-10,M43-10,19,Pu242,6.3068e-05
M43-10,M43-10,20,Pu242,6.42707e-05
M43-10,M43-10,21,Pu242,6.67799e-05
M43-10,M43-10,22,Pu242,6.9427e-05
M43-10,M43-10,23,Pu242,7.35683e-05
M43-10,M43-10,24,Pu242,7.92147e-05
M43-10,M43-10,25,Pu242,8.48473e-05
M43-10,M43-10,0,Am241,1.06375e-05
M43-10,M43-10,1,Am241,1.06378e-05
M43-10,M43-10,2,Am241,1.06387e-05
M43-10,M43-10,3,Am241,1.06399e-05
M43-10,M43-10,4,Am241,1.06414e-05
M43-10,M43-10,5,Am241,1.06432e-05
M43-10,M43-10,6,Am241,1.06455e-05
M43-10,M43-10,7,Am241,1.06491e-05
M43-10,M43-10,8,Am241,1.06546e-05
M43-10,M43-10,9,Am241,1.06609e-05
M43-10,M43-10,10,Am241,1.06763e-05
M43-10,M43-10,11,Am241,1.06953e-05
M43-10,M43-10,12,Am241,1.07171e-05
M43-10,M43-10,13,Am241,1.07416e-05
M43-10,M43-10,14,Am241,1.07683e-05
M43-10,M43-10,15,Am241,1.08274e-05
M43-10,M43-10,16,Am241,1.08911e-05
M43-10,M43-10,17,Am241,1.09572e-05
