case,detector,energy_group_idx,E_min_MeV,E_max_MeV,E_mid_MeV,flux,rel_err
M43-10,2,46,0.00418881,0.00587825,0.00496214393004677,5806060000000000.0,0.0004
M43-10,2,47,0.00587825,0.00824909,0.006963491458492644,5911540000000000.0,0.00043
M43-10,2,48,0.00824909,0.0115761,0.009772015695290303,6045600000000000.0,0.00042
M43-10,2,49,0.0115761,0.016245,0.013713268921012232,6222380000000000.0,0.00037
M43-10,2,50,0.016245,0.022797,0.01924414885101443,6476350000000000.0,0.00038
M43-10,2,51,0.022797,0.0319916,0.027005786513264154,6763140000000000.0,0.00035
M43-10,2,52,0.0319916,0.0448946,0.03789789024945848,7209920000000000.0,0.00035
M43-10,2,53,0.0448946,0.0630016,0.053183001338397595,7792740000000000.0,0.00039
M43-10,2,54,0.0630016,0.0884115,0.07463287451518935,8591250000000000.0,0.00037
M43-10,2,55,0.0884115,0.12407,0.10473401932991973,9654210000000000.0,0.00036
M43-10,2,56,0.12407,0.17411,0.14697560239713256,1.11664e+16,0.00033
M43-10,2,57,0.17411,0.244333,0.20625425724091126,1.3211e+16,0.0003
M43-10,2,58,0.244333,0.342878,0.2894415491493922,1.64193e+16,0.0003
M43-10,2,59,0.342878,0.481168,0.4061796665319425,1.51478e+16,0.00033
M43-10,2,60,0.481168,0.675234,0.5700008713256498,2.19261e+16,0.0003
M43-10,2,61,0.675234,0.947571,0.7998950910050643,2.56542e+16,0.00033
M43-10,2,62,0.947571,1.32975,1.1225117091816905,2.13356e+16,0.00034
M43-10,2,63,1.32975,1.86607,1.5752481018874456,2.43155e+16,0.00037
M43-10,2,64,1.86607,2.61869,2.210578849147888,2.50445e+16,0.0004
M43-10,2,65,2.61869,3.67487,3.102151724255279,2.05301e+16,0.00041
M43-10,2,66,3.67487,5.15703,4.35332227569933,1.31065e+16,0.00055
M43-10,2,67,5.15703,7.23698,6.109118018945124,6535400000000000.0,0.00086
M43-10,2,68,7.23698,10.1558,8.573057884092467,1708080000000000.0,0.00171
M43-10,2,69,10.1558,14.2519,12.030770799080164,239829000000000.0,0.00451
M43-10,2,70,14.2519,20.0,16.88306844148895,13921700000000.0,0.02141
M43-10,3,1,1e-09,1.40332e-09,1.1846180819150111e-09,1979890000000.0,0.00758
M43-10,3,2,1.40332e-09,1.96931e-09,1.6623995034888576e-09,3218190000000.0,0.0079
M43-10,3,3,1.96931e-09,2.76358e-09,2.3328835654185575e-09,5511110000000.0,0.00517
M43-10,3,4,2.76358e-09,3.8782e-09,3.2737922896848543e-09,17283500000000.0,0.00336
M43-10,3,5,3.8782e-09,5.44237e-09,4.594191913057181e-09,24411600000000.0,0.0028
M43-10,3,6,5.44237e-09,7.6374e-09,6.447135537430557e-09,55426600000000.0,0.00214
M43-10,3,7,7.6374e-09,1.07177e-08,9.047395314674826e-09,94678300000000.0,0.00159
M43-10,3,8,1.07177e-08,1.50404e-08,1.2696396932988508e-08,186127000000000.0,0.0012
M43-10,3,9,1.50404e-08,2.11066e-08,1.7817174485310514e-08,329060000000000.0,0.00098
M43-10,3,10,2.11066e-08,2.96194e-08,2.5003296343482392e-08,579640000000000.0,0.0008
M43-10,3,11,2.96194e-08,4.15655e-08,3.508767833157389e-08,950801000000000.0,0.00069
M43-10,3,12,4.15655e-08,5.83298e-08,4.923928616359096e-08,1461380000000000.0,0.00061
M43-10,3,13,5.83298e-08,8.18556e-08,6.909863078875008e-08,2041550000000000.0,0.00053
M43-10,3,14,8.18556e-08,1.1487e-07,9.696779244677069e-08,2518210000000000.0,0.00049
M43-10,3,15,1.1487e-07,1.61199e-07,1.3607692357633606e-07,2630270000000000.0,0.00049
M43-10,3,16,1.61199e-07,2.26215e-07,1.9095976483280452e-07,2285720000000000.0,0.00047
M43-10,3,17,2.26215e-07,3.17452e-07,2.6797836513420257e-07,1716830000000000.0,0.00053
M43-10,3,18,3.17452e-07,4.45488e-07,3.760599108865501e-07,2104680000000000.0,0.00048
M43-10,3,19,4.45488e-07,6.25164e-07,5.277338913050781e-07,2844110000000000.0,0.00045
M43-10,3,20,6.25164e-07,8.77307e-07,7.405813617341446e-07,2834490000000000.0,0.00051
M43-10,3,21,8.77307e-07,1.23114e-06,1.0392726976015487e-06,1975270000000000.0,0.00054
M43-10,3,22,1.23114e-06,1.72769e-06,1.4584334974896866e-06,3463010000000000.0,0.00053
M43-10,3,23,1.72769e-06,2.42451e-06,2.0466562197643256e-06,3658090000000000.0,0.00047
M43-10,3,24,2.42451e-06,3.40237e-06,2.872121182802007e-06,3439250000000000.0,0.00049
M43-10,3,25,3.40237e-06,4.77463e-06,4.0305158321361305e-06,3631900000000000.0,0.00051
M43-10,3,26,4.77463e-06,6.70034e-06,5.656115661317403e-06,3193120000000000.0,0.00048
M43-10,3,27,6.70034e-06,9.40274e-06,7.937351884073177e-06,3487880000000000.0,0.00046
M43-10,3,28,9.40274e-06,1.31951e-05,1.1138675620288077e-05,3835240000000000.0,0.00045
M43-10,3,29,1.31951e-05,1.8517e-05,1.5631176113779796e-05,3883020000000000.0,0.00042
M43-10,3,30,1.8517e-05,2.59853e-05,2.1935582966951208e-05,3831560000000000.0,0.00042
M43-10,3,31,2.59853e-05,3.64657e-05,3.078265995995148e-05,4369830000000000.0,0.00045
M43-10,3,32,3.64657e-05,5.11732e-05,4.319799253715385e-05,4257280000000000.0,0.00043
M43-10,3,33,5.11732e-05,7.18125e-05,6.062075077892058e-05,4429790000000000.0,0.00042
M43-10,3,34,7.18125e-05,0.000100776,8.50704208288639e-05,4666330000000000.0,0.00044
M43-10,3,35,0.000100776,0.000141421,0.00011938108181784918,4744330000000000.0,0.00038
M43-10,3,36,0.000141421,0.00019846,0.0001675303305673334,4955370000000000.0,0.00043
M43-10,3,37,0.00019846,0.000278503,0.00023509935214712947,5014270000000000.0,0.00039
M43-10,3,38,0.000278503,0.00039083,0.0003299201835141342,5176550000000000.0,0.0004
M43-10,3,39,0.00039083,0.00054846,0.00046298447252580727,5251500000000000.0,0.00039
M43-10,3,40,0.00054846,0.000769667,0.0006497165249706983,5336090000000000.0,0.00042
M43-10,3,41,0.000769667,0.00108009,0.0009117618274692136,5416580000000000.0,0.00045
M43-10,3,42,0.00108009,0.00151572,0.001279497563420892,5556420000000000.0,0.00041
M43-10,3,43,0.00151572,0.00212704,0.0017955492387567655,5522930000000000.0,0.00042
M43-10,3,44,0.00212704,0.00298492,0.0025197309850061374,5632550000000000.0,0.00039
M43-10,3,45,0.00298492,0.00418881,0.003535995297677869,5717540000000000.0,0.00045
M43-10,3,46,0.00418881,0.00587825,0.00496214393004677,5825210000000000.0,0.00041
M43-10,3,47,0.00587825,0.00824909,0.006963491458492644,5929170000000000.0,0.0004
M43-10,3,48,0.00824909,0.0115761,0.009772015695290303,6069460000000000.0,0.00038
M43-10,3,49,0.0115761,0.016245,0.013713268921012232,6243510000000000.0,0.00041
M43-10,3,50,0.016245,0.022797,0.01924414885101443,6501270000000000.0,0.00037
M43-10,3,51,0.022797,0.0319916,0.027005786513264154,6784330000000000.0,0.0004
