case,detector,G1,G2,G3,G4,G5,G6,G7
B011,det24,1139406030000.0,5024267540000.0,200135141000000.0,459140520000000.0,6967995300000000.0,2393005560000000.0,4.2594081e+16
B011,det25,1166872100000.0,5110445750000.0,204283308000000.0,468474840000000.0,7059292800000000.0,2416628420000000.0,4.2902774e+16
B012,det0,943586880000.0,4127464190000.0,163772529000000.0,371568696000000.0,6102795000000000.0,2174809240000000.0,4.0018562e+16
B012,det1,939799170000.0,4129862080000.0,163463293000000.0,371348026000000.0,6109827100000000.0,2177303500000000.0,4.0066923e+16
B012,det2,936361240000.0,4139054090000.0,163619114000000.0,371745736000000.0,6113358400000000.0,2178654580000000.0,4.0082303e+16
B012,det3,939725160000.0,4135471110000.0,163465200000000.0,371766033000000.0,6116729900000000.0,2179792680000000.0,4.0095535e+16
B012,det4,941109610000.0,4127160300000.0,163896551000000.0,372355389000000.0,6119631100000000.0,2180283950000000.0,4.0108058e+16
B012,det5,938722750000.0,4132206210000.0,163913489000000.0,372458828000000.0,6123193400000000.0,2181218700000000.0,4.0125788e+16
B012,det6,937389100000.0,4128193590000.0,163958717000000.0,372673758000000.0,6125980300000000.0,2182670550000000.0,4.01345e+16
B012,det7,940574390000.0,4144917300000.0,164026310000000.0,372997824000000.0,6130887000000000.0,2183645370000000.0,4.0155063e+16
B012,det8,944043300000.0,4139211470000.0,164288511000000.0,373474890000000.0,6135684600000000.0,2185125510000000.0,4.0175183e+16
B012,det9,945081800000.0,4147072820000.0,164248840000000.0,373711245000000.0,6140658900000000.0,2187654520000000.0,4.0199974e+16
B012,det10,946474880000.0,4156677170000.0,164768810000000.0,374606238000000.0,6149967800000000.0,2190422850000000.0,4.0242699e+16
B012,det11,952693220000.0,4167825970000.0,164988164000000.0,375478853000000.0,6161594300000000.0,2193055680000000.0,4.0286724e+16
B012,det12,949632170000.0,4165157590000.0,165287079000000.0,376278185000000.0,6172200600000000.0,2196633100000000.0,4.0323897e+16
B012,det13,950084250000.0,4187579460000.0,165394931000000.0,376915554000000.0,6181284600000000.0,2199862240000000.0,4.0375282e+16
B012,det14,952381810000.0,4191549240000.0,165801112000000.0,377669434000000.0,6192286600000000.0,2203155380000000.0,4.0414953e+16
B012,det15,959384570000.0,4205512810000.0,166234126000000.0,379214573000000.0,6212791900000000.0,2208956920000000.0,4.0500658e+16
B012,det16,953507520000.0,4226244900000.0,166874116000000.0,380655778000000.0,6232578400000000.0,2215525860000000.0,4.0588093e+16
B012,det17,959872470000.0,4236266000000.0,167564902000000.0,382416927000000.0,6253442200000000.0,2221633580000000.0,4.0669008e+16
B012,det18,970468800000.0,4239552610000.0,168116824000000.0,383929452000000.0,6273981300000000.0,2227575920000000.0,4.0746576e+16
B012,det19,973994130000.0,4260857620000.0,168968337000000.0,385741065000000.0,6293700600000000.0,2233917420000000.0,4.0824581e+16
B012,det20,974615860000.0,4283820090000.0,169443166000000.0,387497860000000.0,6314147600000000.0,2239811360000000.0,4.0905986e+16
B012,det21,986277150000.0,4324890760000.0,170901728000000.0,390789448000000.0,6353803800000000.0,2251687280000000.0,4.1068696e+16
B012,det22,992203260000.0,4354382180000.0,172325125000000.0,394386509000000.0,6394617500000000.0,2263321800000000.0,4.1213799e+16
B012,det23,1006211650000.0,4421450310000.0,174580670000000.0,399630289000000.0,6454029600000000.0,2280409110000000.0,4.1436149e+16
B012,det24,1024372070000.0,4486304690000.0,177528857000000.0,407294650000000.0,6534165500000000.0,2304079670000000.0,4.1729522e+16
B012,det25,1044072180000.0,4560826570000.0,180815618000000.0,414746300000000.0,6616957600000000.0,2327229370000000.0,4.2009347e+16
C001,det0,14351808500000.0,66376957000000.0,2867303710000000.0,4337605100000000.0,2.35365789e+16,4652951600000000.0,7.0600207e+16
C001,det1,14262797100000.0,65946330000000.0,2838802050000000.0,4392816900000000.0,2.41171066e+16,4773754000000000.0,7.2441066e+16
C001,det2,14355958200000.0,66292908000000.0,2854831470000000.0,4416440600000000.0,2.44099434e+16,4844473400000000.0,7.350737e+16
C001,det3,14429472200000.0,66702478000000.0,2870999520000000.0,4438293600000000.0,2.46519925e+16,4903780700000000.0,7.4391282e+16
C001,det4,14490260000000.0,67095660000000.0,2887440440000000.0,4459309900000000.0,2.48500217e+16,4954333100000000.0,7.5133123e+16
