case,bstep,burnup_MWd_kgHM,row_1of8,col_1of8,power_raw,power_normalized,rel_error_pct
M43-5,7,2.000000,9,2,0.003022,0.797199,-20.280063
M43-5,7,2.000000,9,3,0.003020,0.796797,-20.320295
M43-5,7,2.000000,9,4,0.003047,0.803854,-19.614625
M43-5,7,2.000000,9,5,0.003013,0.794853,-20.514697
M43-5,7,2.000000,9,6,0.002999,0.791063,-20.893663
M43-5,7,2.000000,9,7,0.003014,0.795038,-20.496231
M43-5,7,2.000000,9,8,0.003080,0.812570,-18.742991
M43-5,7,2.000000,9,9,0.003163,0.834449,-16.555148
M43-5,8,2.500000,2,1,0.004195,1.106938,10.693775
M43-5,8,2.500000,2,2,0.003954,1.043258,4.325828
M43-5,8,2.500000,3,1,0.004209,1.110526,11.052637
M43-5,8,2.500000,3,2,0.003989,1.052678,5.267840
M43-5,8,2.500000,3,3,0.003996,1.054438,5.443840
M43-5,8,2.500000,4,2,0.004247,1.120746,12.074601
M43-5,8,2.500000,4,3,0.004261,1.124319,12.431879
M43-5,8,2.500000,5,1,0.004301,1.134900,13.489993
M43-5,8,2.500000,5,2,0.004073,1.074706,7.470617
M43-5,8,2.500000,5,3,0.004106,1.083351,8.335051
M43-5,8,2.500000,5,4,0.004464,1.177850,17.784987
M43-5,8,2.500000,5,5,0.003929,1.036854,3.685418
M43-5,8,2.500000,6,1,0.003913,1.032548,3.254784
M43-5,8,2.500000,6,2,0.003739,0.986627,-1.337325
M43-5,8,2.500000,6,3,0.003749,0.989318,-1.068179
M43-5,8,2.500000,6,4,0.004061,1.071627,7.162682
M43-5,8,2.500000,6,5,0.004228,1.115593,11.559265
M43-5,8,2.500000,7,2,0.004060,1.071315,7.131546
M43-5,8,2.500000,7,3,0.004091,1.079585,7.958511
M43-5,8,2.500000,7,5,0.004211,1.111270,11.127048
M43-5,8,2.500000,7,6,0.004100,1.081817,8.181744
M43-5,8,2.500000,7,7,0.003848,1.015362,1.536207
M43-5,8,2.500000,8,1,0.004141,1.092618,9.261759
M43-5,8,2.500000,8,2,0.003960,1.044997,4.499718
M43-5,8,2.500000,8,3,0.003945,1.041026,4.102595
M43-5,8,2.500000,8,4,0.004142,1.092821,9.282077
M43-5,8,2.500000,8,5,0.003955,1.043733,4.373324
M43-5,8,2.500000,8,6,0.003789,0.999762,-0.023786
M43-5,8,2.500000,8,7,0.003799,1.002504,0.250374
M43-5,8,2.500000,8,8,0.002933,0.773937,-22.606263
M43-5,8,2.500000,9,1,0.003033,0.800380,-19.962007
M43-5,8,2.500000,9,2,0.003040,0.802043,-19.795743
M43-5,8,2.500000,9,3,0.003020,0.796995,-20.300471
M43-5,8,2.500000,9,4,0.003030,0.799502,-20.049822
M43-5,8,2.500000,9,5,0.003017,0.795993,-20.400742
M43-5,8,2.500000,9,6,0.003002,0.792106,-20.789420
M43-5,8,2.500000,9,7,0.003011,0.794467,-20.553311
M43-5,8,2.500000,9,8,0.003079,0.812342,-18.765784
M43-5,8,2.500000,9,9,0.003180,0.839148,-16.085246
M43-5,9,3.000000,2,1,0.004193,1.106155,10.615506
M43-5,9,3.000000,2,2,0.003956,1.043713,4.371340
M43-5,9,3.000000,3,1,0.004214,1.111825,11.182462
M43-5,9,3.000000,3,2,0.003982,1.050417,5.041714
M43-5,9,3.000000,3,3,0.003979,1.049855,4.985520
M43-5,9,3.000000,4,2,0.004242,1.119024,11.902435
M43-5,9,3.000000,4,3,0.004279,1.128902,12.890189
M43-5,9,3.000000,5,1,0.004322,1.140125,14.012493
M43-5,9,3.000000,5,2,0.004080,1.076319,7.631930
M43-5,9,3.000000,5,3,0.004118,1.086413,8.641318
M43-5,9,3.000000,5,4,0.004455,1.175329,17.532949
M43-5,9,3.000000,5,5,0.003935,1.038258,3.825754
M43-5,9,3.000000,6,1,0.003949,1.041927,4.192732
M43-5,9,3.000000,6,2,0.003736,0.985649,-1.435144
M43-5,9,3.000000,6,3,0.003742,0.987276,-1.272365
M43-5,9,3.000000,6,4,0.004039,1.065661,6.566085
M43-5,9,3.000000,6,5,0.004226,1.114969,11.496939
M43-5,9,3.000000,7,2,0.004038,1.065410,6.541021
M43-5,9,3.000000,7,3,0.004056,1.070061,7.006142
M43-5,9,3.000000,7,5,0.004199,1.107772,10.777230
M43-5,9,3.000000,7,6,0.004109,1.083968,8.396753
M43-5,9,3.000000,7,7,0.003844,1.014252,1.425227
M43-5,9,3.000000,8,1,0.004140,1.092331,9.233073
M43-5,9,3.000000,8,2,0.003959,1.044492,4.449168
M43-5,9,3.000000,8,3,0.003964,1.045787,4.578705
M43-5,9,3.000000,8,4,0.004164,1.098531,9.853057
M43-5,9,3.000000,8,5,0.003955,1.043473,4.347332
M43-5,9,3.000000,8,6,0.003807,1.004451,0.445124
M43-5,9,3.000000,8,7,0.003783,0.998167,-0.183303
M43-5,9,3.000000,8,8,0.002941,0.775811,-22.418898
M43-5,9,3.000000,9,1,0.003045,0.803305,-19.669518
M43-5,9,3.000000,9,2,0.003018,0.796093,-20.390732
M43-5,9,3.000000,9,3,0.003033,0.800186,-19.981384
M43-5,9,3.000000,9,4,0.003042,0.802573,-19.742676
M43-5,9,3.000000,9,5,0.003011,0.794277,-20.572268
M43-5,9,3.000000,9,6,0.002995,0.790263,-20.973702
M43-5,9,3.000000,9,7,0.003018,0.796329,-20.367119
M43-5,9,3.000000,9,8,0.003090,0.815300,-18.470020
M43-5,9,3.000000,9,9,0.003166,0.835349,-16.465069
M43-5,10,4.000000,2,1,0.004180,1.102138,10.213801
M43-5,10,4.000000,2,2,0.003959,1.043927,4.392689
M43-5,10,4.000000,3,1,0.004216,1.111603,11.160344
M43-5,10,4.000000,3,2,0.003966,1.045606,4.560641
M43-5,10,4.000000,3,3,0.003989,1.051721,5.172072
M43-5,10,4.000000,4,2,0.004242,1.118543,11.854301
M43-5,10,4.000000,4,3,0.004262,1.123663,12.366331
M43-5,10,4.000000,5,1,0.004317,1.138225,13.822531
M43-5,10,4.000000,5,2,0.004087,1.077491,7.749096
M43-5,10,4.000000,5,3,0.004131,1.089105,8.910524
M43-5,10,4.000000,5,4,0.004439,1.170300,17.029970
M43-5,10,4.000000,5,5,0.003948,1.040963,4.096334
M43-5,10,4.000000,6,1,0.003949,1.041298,4.129819
