case,group,keff_threshold,valid_points,burnup_range,max_CR,keff_at_max_CR,avg_CR,Th_level,Pu_level,U235_enrichment,U233_enrichment,total_enrichment
C004,C,0.9,26,0.0 - 50.0,0.335167,1.31236,0.2245773846153846,0.8,0.2,0.0,0.0,0.0
C004,C,0.95,26,0.0 - 50.0,0.335167,1.31236,0.2245773846153846,0.8,0.2,0.0,0.0,0.0
C004,C,1.0,26,0.0 - 50.0,0.335167,1.31236,0.2245773846153846,0.8,0.2,0.0,0.0,0.0
C005,C,0.8,26,0.0 - 50.0,0.292735,1.37402,0.19834288461538463,0.75,0.25,0.0,0.0,0.0
C005,C,0.9,26,0.0 - 50.0,0.292735,1.37402,0.19834288461538463,0.75,0.25,0.0,0.0,0.0
C005,C,0.95,26,0.0 - 50.0,0.292735,1.37402,0.19834288461538463,0.75,0.25,0.0,0.0,0.0
C005,C,1.0,26,0.0 - 50.0,0.292735,1.37402,0.19834288461538463,0.75,0.25,0.0,0.0,0.0
C006,C,0.8,26,0.0 - 50.0,0.259317,1.42814,0.1768345769230769,0.7,0.3,0.0,0.0,0.0
C006,C,0.9,26,0.0 - 50.0,0.259317,1.42814,0.1768345769230769,0.7,0.3,0.0,0.0,0.0
C006,C,0.95,26,0.0 - 50.0,0.259317,1.42814,0.1768345769230769,0.7,0.3,0.0,0.0,0.0
C006,C,1.0,26,0.0 - 50.0,0.259317,1.42814,0.1768345769230769,0.7,0.3,0.0,0.0,0.0
C007,C,0.8,26,0.0 - 50.0,0.231529,1.47769,0.15850507692307694,0.65,0.35,0.0,0.0,0.0
C007,C,0.9,26,0.0 - 50.0,0.231529,1.47769,0.15850507692307694,0.65,0.35,0.0,0.0,0.0
C007,C,0.95,26,0.0 - 50.0,0.231529,1.47769,0.15850507692307694,0.65,0.35,0.0,0.0,0.0
C007,C,1.0,26,0.0 - 50.0,0.231529,1.47769,0.15850507692307694,0.65,0.35,0.0,0.0,0.0
C008,C,0.8,26,0.0 - 50.0,0.207877,1.5233,0.14247473076923076,0.6,0.4,0.0,0.0,0.0
C008,C,0.9,26,0.0 - 50.0,0.207877,1.5233,0.14247473076923076,0.6,0.4,0.0,0.0,0.0
C008,C,0.95,26,0.0 - 50.0,0.207877,1.5233,0.14247473076923076,0.6,0.4,0.0,0.0,0.0
C008,C,1.0,26,0.0 - 50.0,0.207877,1.5233,0.14247473076923076,0.6,0.4,0.0,0.0,0.0
C009,C,0.8,26,0.0 - 50.0,0.187159,1.56621,0.12816251538461537,0.55,0.45,0.0,0.0,0.0
C009,C,0.9,26,0.0 - 50.0,0.187159,1.56621,0.12816251538461537,0.55,0.45,0.0,0.0,0.0
C009,C,0.95,26,0.0 - 50.0,0.187159,1.56621,0.12816251538461537,0.55,0.45,0.0,0.0,0.0
C009,C,1.0,26,0.0 - 50.0,0.187159,1.56621,0.12816251538461537,0.55,0.45,0.0,0.0,0.0
C010,C,0.8,26,0.0 - 50.0,0.168723,1.60674,0.11522397692307693,0.5,0.5,0.0,0.0,0.0
