case,bstep,burnup_MWd_kgHM,row_1of8,col_1of8,power_raw,power_normalized,rel_error_pct
mox43,7,2.000000,2,2,0.003805,1.004759,0.475851
mox43,7,2.000000,3,1,0.003975,1.049483,4.948268
mox43,7,2.000000,3,2,0.003801,1.003584,0.358357
mox43,7,2.000000,3,3,0.003804,1.004318,0.431758
mox43,7,2.000000,4,2,0.003999,1.055946,5.594616
mox43,7,2.000000,4,3,0.004002,1.056641,5.664056
mox43,7,2.000000,5,1,0.003967,1.047508,4.750773
mox43,7,2.000000,5,2,0.003812,1.006456,0.645623
mox43,7,2.000000,5,3,0.003821,1.008796,0.879554
mox43,7,2.000000,5,4,0.004043,1.067558,6.755823
mox43,7,2.000000,5,5,0.003988,1.052957,5.295733
mox43,7,2.000000,6,1,0.003951,1.043146,4.314594
mox43,7,2.000000,6,2,0.003787,0.999911,-0.008909
mox43,7,2.000000,6,3,0.003817,1.007768,0.776846
mox43,7,2.000000,6,4,0.004051,1.069673,6.967312
mox43,7,2.000000,6,5,0.004132,1.091017,9.101736
mox43,7,2.000000,7,2,0.003934,1.038734,3.873399
mox43,7,2.000000,7,3,0.003960,1.045694,4.569384
mox43,7,2.000000,7,5,0.004059,1.071651,7.165071
mox43,7,2.000000,7,6,0.003926,1.036653,3.665343
mox43,7,2.000000,7,7,0.003659,0.966083,-3.391671
mox43,7,2.000000,8,1,0.003874,1.022963,2.296343
mox43,7,2.000000,8,2,0.003705,0.978297,-2.170265
mox43,7,2.000000,8,3,0.003705,0.978147,-2.185315
mox43,7,2.000000,8,4,0.003895,1.028429,2.842887
mox43,7,2.000000,8,5,0.003701,0.977239,-2.276142
mox43,7,2.000000,8,6,0.003569,0.942453,-5.754747
mox43,7,2.000000,8,7,0.003494,0.922579,-7.742106
mox43,7,2.000000,8,8,0.003446,0.909950,-9.004966
mox43,7,2.000000,9,1,0.003607,0.952325,-4.767536
mox43,7,2.000000,9,2,0.003603,0.951390,-4.861003
mox43,7,2.000000,9,3,0.003609,0.953008,-4.699152
mox43,7,2.000000,9,4,0.003618,0.955218,-4.478158
mox43,7,2.000000,9,5,0.003565,0.941386,-5.861415
mox43,7,2.000000,9,6,0.003526,0.931054,-6.894568
mox43,7,2.000000,9,7,0.003503,0.924974,-7.502630
mox43,7,2.000000,9,8,0.003476,0.917760,-8.223963
mox43,7,2.000000,9,9,0.003527,0.931329,-6.867108
mox43,8,2.500000,2,1,0.003990,1.052806,5.280558
mox43,8,2.500000,2,2,0.003806,1.004435,0.443500
mox43,8,2.500000,3,1,0.004007,1.057442,5.744208
mox43,8,2.500000,3,2,0.003818,1.007409,0.740901
mox43,8,2.500000,3,3,0.003816,1.006958,0.695777
mox43,8,2.500000,4,2,0.003977,1.049525,4.952546
mox43,8,2.500000,4,3,0.003995,1.054101,5.410127
mox43,8,2.500000,5,1,0.003980,1.050285,5.028546
mox43,8,2.500000,5,2,0.003814,1.006419,0.641944
mox43,8,2.500000,5,3,0.003839,1.013043,1.304301
mox43,8,2.500000,5,4,0.004031,1.063749,6.374900
mox43,8,2.500000,5,5,0.003981,1.050650,5.064962
mox43,8,2.500000,6,1,0.003960,1.045087,4.508687
