BURN_STEP,case,layout_base,Th_level,Pu_level,U235_enrichment,U233_enrichment,burnup_MWd_kgHM,EFPD,conversion_ratio,Adens_U233_initial,Adens_U235_initial,Adens_U238_initial,Adens_Th232_initial,Adens_Pa233_initial,Adens_Pu239_initial,Adens_Pu240_initial,Adens_Pu241_initial,Adens_Pu242_initial,Adens_Am241_initial,Adens_Am243_initial,Adens_Sm149_initial,Adens_Xe135_initial,Adens_U233_final,Adens_U235_final,Adens_U238_final,Adens_Th232_final,Adens_Pa233_final,Adens_Pu239_final,Adens_Pu240_final,Adens_Pu241_final,Adens_Pu242_final,Adens_Am241_final,Adens_Am243_final,Adens_Sm149_final,Adens_Xe135_final
25,D021,uniform,0.9,0.04,0.05,0.0,50.0002,1315.7947368421053,0.934465,,,,,,,,,,,,,,0.000298128,2.4563e-05,0.0011379,0.0193792,2.37273e-05,5.31597e-05,8.04608e-05,5.90391e-05,3.63224e-05,3.0307e-06,9.52615e-06,8.38466e-08,7.58583e-09
0,D022,uniform,0.9,0.06,0.02,0.0,0.0,0.0,0.284842,0.0,1.78372e-05,0.000874024,0.0200669,0.0,0.00133779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D022,uniform,0.9,0.06,0.02,0.0,50.0002,1315.7947368421053,0.753453,,,,,,,,,,,,,,0.000290625,1.24394e-05,0.000777757,0.0195124,1.82419e-05,0.000201899,0.000173586,0.000100535,2.87996e-05,5.4886e-06,6.76381e-06,1.52672e-07,1.20019e-08
0,D023,uniform,0.9,0.06,0.03,0.0,0.0,0.0,0.284028,0.0,2.6756e-05,0.000865109,0.020067,0.0,0.0013378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D023,uniform,0.9,0.06,0.03,0.0,50.0002,1315.7947368421053,0.749649,,,,,,,,,,,,,,0.000290362,1.61468e-05,0.000769633,0.0195142,1.81713e-05,0.000203873,0.000173777,0.000100603,2.8583e-05,5.49757e-06,6.70867e-06,1.53803e-07,1.20711e-08
0,D024,uniform,0.9,0.06,0.05,0.0,0.0,0.0,0.282415,0.0,4.45937e-05,0.00084728,0.0200671,0.0,0.00133781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D024,uniform,0.9,0.06,0.05,0.0,50.0002,1315.7947368421053,0.742445,,,,,,,,,,,,,,0.000289872,2.36668e-05,0.000753425,0.0195178,1.80334e-05,0.000207819,0.000174148,0.000100704,2.81628e-05,5.51467e-06,6.59653e-06,1.56226e-07,1.22097e-08
0,D025,uniform,0.9,0.08,0.02,0.0,0.0,0.0,0.245281,0.0,8.9179e-06,0.000436977,0.0200653,0.0,0.00178358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D025,uniform,0.9,0.08,0.02,0.0,50.0002,1315.7947368421053,0.60685,,,,,,,,,,,,,,0.000279298,8.43822e-06,0.000379945,0.0195857,1.50934e-05,0.00047772,0.00023784,0.000120892,2.10284e-05,6.91937e-06,4.73018e-06,2.54319e-07,1.68252e-08
0,D026,uniform,0.9,0.08,0.03,0.0,0.0,0.0,0.24478,0.0,1.33769e-05,0.000432519,0.0200653,0.0,0.00178358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D026,uniform,0.9,0.08,0.03,0.0,50.0002,1315.7947368421053,0.605906,,,,,,,,,,,,,,0.000279159,1.07511e-05,0.000375939,0.0195863,1.50743e-05,0.000478816,0.000237723,0.000120828,2.09668e-05,6.91822e-06,4.71364e-06,2.54989e-07,1.6851e-08
0,D027,uniform,0.9,0.08,0.05,0.0,0.0,0.0,0.244152,0.0,2.22949e-05,0.000423603,0.0200654,0.0,0.00178359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
25,D027,uniform,0.9,0.08,0.05,0.0,50.0002,1315.7947368421053,0.603252,,,,,,,,,,,,,,0.000278894,1.53943e-05,0.000367923,0.0195874,1.50376e-05,0.000480989,0.000237556,0.000120667,2.08348e-05,6.91292e-06,4.68305e-06,2.56364e-07,1.69028e-08
